******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 24.5757, 10.7769, 89.1907, 26.1533, 11.0811, 88.9363
002, 21.2590, 9.4313, 90.6474, 27.8435, 11.8628, 88.1691
003, 20.1992, 8.9533, 91.1280, 17.4867, 7.6664, 92.4065
004, 19.5847, 8.6691, 91.4132, 18.4045, 8.0500, 92.0462
005, 19.2454, 8.5097, 91.5696, 17.5179, 7.7635, 92.3179
006, 18.8533, 8.3827, 91.6947, 18.2330, 8.0091, 92.0634
007, 18.3447, 8.1293, 91.9484, 16.6067, 7.3442, 92.7368
008, 18.0814, 8.0487, 92.0296, 16.0675, 7.0933, 92.9702
009, 17.8685, 7.9044, 92.1695, 16.0579, 7.0061, 93.0663
010, 17.5706, 7.7529, 92.3215, 17.8431, 7.8931, 92.1670
011, 17.2823, 7.6376, 92.4368, 15.8978, 7.0379, 93.0288
012, 17.1861, 7.5883, 92.4811, 16.1446, 6.9841, 93.0768
013, 17.1421, 7.5502, 92.5206, 15.9356, 7.0288, 93.0423
014, 16.8165, 7.4374, 92.6332, 15.0458, 6.5944, 93.4717
015, 16.7541, 7.3732, 92.6949, 15.6596, 6.9826, 93.0813
016, 16.4861, 7.3020, 92.7693, 15.2808, 6.6945, 93.3748
017, 16.3444, 7.2320, 92.8407, 15.3078, 6.5390, 93.5197
018, 16.2111, 7.1383, 92.9301, 14.8863, 6.5481, 93.5167
019, 16.1030, 7.0986, 92.9721, 15.2888, 6.6619, 93.4011
020, 16.1403, 7.0842, 92.9833, 15.6650, 6.7862, 93.2825
021, 15.8039, 6.8961, 93.1718, 15.0367, 6.6399, 93.4229
022, 15.5942, 6.8745, 93.1945, 15.4274, 6.6497, 93.4139
023, 15.6040, 6.8492, 93.2188, 15.1120, 6.5929, 93.4754
024, 15.3971, 6.7254, 93.3404, 14.6555, 6.4632, 93.5985
025, 15.5294, 6.8242, 93.2407, 14.9369, 6.4223, 93.6398
026, 15.1664, 6.6786, 93.3864, 15.3383, 6.6732, 93.3898
027, 15.0266, 6.6137, 93.4494, 15.2581, 6.6482, 93.4108
028, 15.0278, 6.6169, 93.4461, 15.1070, 6.6293, 93.4326
029, 14.9123, 6.5244, 93.5388, 15.1273, 6.3942, 93.6698
