******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 24.0836, 53.2321, 24.0836, 13.5205, 85.9077, 23.4370, 52.2878, 23.4370, 13.3306, 86.2434
002, 23.0369, 52.0590, 23.0369, 13.0703, 86.4319, 22.5112, 51.4300, 22.5112, 12.6702, 86.8203
003, 22.5869, 51.5229, 22.5869, 12.7221, 86.7777, 21.9553, 50.5903, 21.9553, 12.2092, 87.2851
004, 22.1881, 51.0048, 22.1881, 12.5050, 86.9929, 21.4746, 49.7877, 21.4746, 12.2039, 87.3882
005, 21.8935, 50.6385, 21.8935, 12.2979, 87.2019, 23.3346, 52.0138, 23.3346, 13.1857, 86.4754
006, 21.3602, 49.9539, 21.3602, 11.9645, 87.5355, 26.2502, 55.6015, 26.2502, 14.7392, 84.5095
007, 20.9607, 49.4420, 20.9607, 11.6948, 87.8037, 20.5534, 49.4137, 20.5534, 11.2297, 88.1888
008, 20.7806, 49.2392, 20.7806, 11.5418, 87.9532, 23.2834, 48.4165, 23.2834, 11.5671, 88.0804
009, 20.2526, 48.5550, 20.2526, 11.2424, 88.2575, 19.1550, 47.4294, 19.1550, 10.5921, 88.9166
010, 19.9910, 48.2375, 19.9910, 11.0774, 88.4236, 22.1183, 50.9206, 22.1183, 11.9719, 87.3321
011, 19.6115, 47.7606, 19.6115, 10.8092, 88.6863, 21.6577, 50.4885, 21.6577, 11.7437, 87.5739
012, 19.5091, 47.6259, 19.5091, 10.7516, 88.7467, 19.1895, 47.6291, 19.1895, 10.7407, 88.8961
013, 19.3096, 47.3776, 19.3096, 10.7040, 88.7967, 18.4025, 46.3641, 18.4025, 10.2828, 89.2949
014, 19.0216, 46.9905, 19.0216, 10.4802, 89.0200, 19.1435, 47.1154, 19.1435, 10.5823, 88.7854
015, 18.9407, 46.9243, 18.9407, 10.4552, 89.0443, 22.8644, 52.4638, 22.8644, 11.8302, 87.4503
016, 18.7500, 46.6582, 18.7500, 10.3566, 89.1394, 19.8445, 46.7800, 19.8445, 10.7892, 88.5193
017, 18.6364, 46.5346, 18.6364, 10.2853, 89.2135, 18.4207, 45.9253, 18.4207, 10.3912, 89.2388
018, 18.5107, 46.3770, 18.5107, 10.1681, 89.3316, 16.9702, 45.0108, 16.9702, 9.4056, 90.1160
019, 18.3898, 46.2235, 18.3898, 10.1282, 89.3659, 19.2100, 46.9173, 19.2100, 10.8658, 88.8112
