******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 24.2572, 10.6836, 89.3406, 19.5677, 8.5061, 91.5744
002, 20.8334, 9.1885, 90.8960, 21.9686, 9.5364, 90.5730
003, 19.9213, 8.8047, 91.2790, 17.1020, 7.5023, 92.5667
004, 19.3278, 8.5890, 91.4942, 19.1403, 8.3483, 91.7321
005, 18.8668, 8.3280, 91.7549, 16.2513, 7.1138, 92.9544
006, 18.4694, 8.2050, 91.8756, 15.5032, 6.8058, 93.2639
007, 17.9448, 7.8761, 92.1993, 16.2057, 7.1874, 92.8868
008, 17.8881, 7.9122, 92.1635, 15.5738, 6.8179, 93.2406
009, 17.6105, 7.7608, 92.3150, 15.6057, 6.8991, 93.1767
010, 17.2229, 7.5793, 92.4940, 15.4938, 6.8331, 93.2353
011, 17.1514, 7.5579, 92.5184, 16.1822, 6.9697, 93.0971
012, 16.8407, 7.3859, 92.6861, 14.7747, 6.4825, 93.5809
013, 16.7087, 7.3767, 92.6956, 15.6242, 6.9332, 93.1241
014, 16.5615, 7.3041, 92.7682, 14.6755, 6.4583, 93.6057
015, 16.1500, 7.0859, 92.9832, 14.9439, 6.5554, 93.5118
016, 16.0605, 7.0626, 93.0066, 14.6881, 6.3680, 93.6921
017, 16.0237, 7.0651, 93.0062, 14.8862, 6.5015, 93.5629
018, 15.8323, 6.9479, 93.1218, 14.3564, 6.2208, 93.8416
019, 15.6490, 6.8974, 93.1732, 18.9764, 8.1062, 91.9688
020, 15.4539, 6.7679, 93.2973, 14.8066, 6.4143, 93.6522
021, 15.5437, 6.7817, 93.2849, 15.6192, 6.7511, 93.3165
022, 15.3160, 6.7281, 93.3374, 14.7579, 6.4970, 93.5711
023, 15.1634, 6.6703, 93.3951, 14.4834, 6.2405, 93.8205
024, 14.9828, 6.5876, 93.4776, 14.6555, 6.4264, 93.6357
025, 14.7722, 6.4633, 93.6018, 14.3121, 6.3270, 93.7371
026, 14.7259, 6.4803, 93.5842, 14.4426, 6.2883, 93.7747
027, 14.6759, 6.4515, 93.6104, 15.0003, 6.4666, 93.5967
028, 14.5130, 6.3687, 93.6936, 16.8551, 7.1578, 92.9153
029, 14.4027, 6.3233, 93.7375, 14.2176, 6.0759, 93.9805
030, 14.3096, 6.2602, 93.8016, 14.6039, 6.1639, 93.8964
031, 13.1302, 5.7458, 94.3108, 13.4508, 5.7261, 94.3306
032, 12.4528, 5.4404, 94.6133, 13.3981, 5.6768, 94.3794
033, 12.2086, 5.3441, 94.7091, 13.3235, 5.5964, 94.4591
034, 11.8835, 5.1896, 94.8617, 13.6564, 5.7003, 94.3561
035, 11.6969, 5.1009, 94.9493, 13.6295, 5.6328, 94.4230
036, 11.6146, 5.0802, 94.9703, 13.6833, 5.6305, 94.4245
037, 11.5438, 5.0261, 95.0233, 13.8255, 5.6237, 94.4320
038, 11.4375, 4.9829, 95.0665, 13.6743, 5.5751, 94.4793
039, 11.2882, 4.9281, 95.1207, 13.6706, 5.6115, 94.4433
040, 11.3175, 4.9420, 95.1061, 14.0558, 5.6783, 94.3787
041, 11.1279, 4.8547, 95.1931, 14.0425, 5.6707, 94.3862
042, 11.1318, 4.8440, 95.2041, 13.9497, 5.6540, 94.4020
043, 10.8192, 4.7258, 95.3210, 13.8674, 5.5698, 94.4853
044, 10.9201, 4.7577, 95.2893, 13.8583, 5.5660, 94.4891
045, 10.6978, 4.6493, 95.3972, 14.2050, 5.6366, 94.4192
046, 10.8044, 4.7036, 95.3431, 13.9646, 5.5964, 94.4591
047, 10.6485, 4.6381, 95.4073, 14.4304, 5.6510, 94.4042
048, 10.5804, 4.6014, 95.4438, 14.3232, 5.7018, 94.3546
049, 10.4298, 4.5628, 95.4819, 14.5078, 5.6533, 94.4027
050, 10.3162, 4.5059, 95.5385, 14.6036, 5.7564, 94.3005
051, 10.1896, 4.4253, 95.6180, 14.4188, 5.5986, 94.4575
052, 10.2130, 4.4434, 95.6007, 14.4480, 5.5713, 94.4838
053, 10.1046, 4.3916, 95.6518, 14.3886, 5.5933, 94.4621
054, 10.0693, 4.3758, 95.6673, 14.3686, 5.5903, 94.4651
055, 10.0936, 4.3842, 95.6589, 14.4918, 5.5956, 94.4606
056, 10.0651, 4.3867, 95.6571, 14.5191, 5.5918, 94.4636
057, 10.0786, 4.3943, 95.6497, 14.5338, 5.5964, 94.4591
058, 10.0474, 4.3759, 95.6676, 14.7293, 5.6388, 94.4177
059, 10.0220, 4.3650, 95.6783, 14.5721, 5.6070, 94.4485
060, 9.8043, 4.2538, 95.7885, 14.4882, 5.5903, 94.4651
061, 9.9855, 4.3318, 95.7106, 14.7139, 5.6252, 94.4313
062, 9.9532, 4.3131, 95.7293, 14.5222, 5.5744, 94.4801
063, 9.7478, 4.2398, 95.8021, 14.6116, 5.5926, 94.4628
064, 9.8026, 4.2714, 95.7710, 14.3949, 5.5964, 94.4591
065, 9.7494, 4.2249, 95.8163, 14.6432, 5.5675, 94.4868
test_total_loss, test_argmax_MAE, test_accuracy:
14.1294, 5.6521, 94.4035
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.180, 0.298, 0.412, 0.508, 0.600, 0.669, 0.728, 0.774, 0.820, 0.859

test_total_loss, test_argmax_MAE, test_accuracy:
14.1294, 5.6521, 94.4035
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.180, 0.298, 0.412, 0.508, 0.600, 0.669, 0.728, 0.774, 0.820, 0.859

