******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 19.4015, 47.2567, 19.4015, 10.5276, 88.8424, 15.7025, 43.0495, 15.7025, 8.4765, 91.1214
002, 16.4820, 43.7710, 16.4820, 8.9713, 90.5252, 15.4606, 42.4682, 15.4606, 8.6396, 90.9977
003, 15.8293, 42.9554, 15.8293, 8.6554, 90.8377, 14.1188, 41.9965, 14.1188, 7.6449, 91.7185
004, 15.3635, 42.3677, 15.3635, 8.3348, 91.1535, 13.8907, 41.2658, 13.8907, 7.6502, 91.9423
005, 15.0040, 41.9248, 15.0040, 8.1416, 91.3489, 13.3763, 40.0796, 13.3763, 7.0964, 92.2898
006, 14.6472, 41.4785, 14.6472, 7.9921, 91.4992, 12.6277, 39.1666, 12.6277, 6.7663, 92.7064
007, 14.2472, 40.9836, 14.2472, 7.7442, 91.7448, 12.6973, 39.0047, 12.6973, 6.8862, 92.5819
008, 14.2114, 40.9225, 14.2114, 7.7324, 91.7553, 12.7109, 39.6295, 12.7109, 6.8649, 92.6153
009, 13.9479, 40.6031, 13.9479, 7.5660, 91.9237, 12.6668, 39.5780, 12.6668, 6.9575, 92.6442
010, 13.6595, 40.2477, 13.6595, 7.4158, 92.0789, 12.4046, 38.2350, 12.4046, 6.8065, 92.7375
011, 13.5976, 40.1700, 13.5976, 7.3804, 92.1131, 12.1779, 38.4389, 12.1779, 6.6297, 92.8961
012, 13.4664, 39.9865, 13.4664, 7.2676, 92.2244, 12.2280, 38.8017, 12.2280, 6.6358, 92.9052
013, 13.2789, 39.7810, 13.2789, 7.2188, 92.2736, 12.1591, 38.5666, 12.1591, 6.6737, 92.7929
014, 13.1352, 39.5801, 13.1352, 7.1402, 92.3519, 12.4711, 38.0910, 12.4711, 6.7997, 92.6578
015, 12.7936, 39.1508, 12.7936, 6.9332, 92.5578, 12.2254, 38.2427, 12.2254, 6.7602, 92.8088
016, 12.6265, 38.9342, 12.6265, 6.8596, 92.6285, 11.7823, 38.0438, 11.7823, 6.4370, 93.1191
017, 12.6365, 38.9588, 12.6365, 6.8983, 92.5915, 11.9460, 37.9057, 11.9460, 6.5357, 92.9674
018, 12.4617, 38.7403, 12.4617, 6.7775, 92.7163, 11.4129, 37.3206, 11.4129, 6.2178, 93.3338
019, 12.3792, 38.6252, 12.3792, 6.7269, 92.7669, 13.3576, 39.9770, 13.3576, 6.9347, 92.3483
020, 12.1830, 38.3833, 12.1830, 6.6147, 92.8763, 11.3309, 37.4519, 11.3309, 6.0789, 93.3483
021, 12.2508, 38.4884, 12.2508, 6.6163, 92.8762, 12.4375, 38.3375, 12.4375, 6.5038, 92.8513
022, 12.0491, 38.2148, 12.0491, 6.5437, 92.9398, 11.9754, 38.2995, 11.9754, 6.4659, 93.1062
023, 11.9529, 38.0995, 11.9529, 6.4996, 92.9991, 12.0119, 37.6874, 12.0119, 6.5463, 93.0470
024, 11.8479, 37.9588, 11.8479, 6.4177, 93.0722, 11.7355, 37.5754, 11.7355, 6.4689, 93.1032
025, 11.6483, 37.7068, 11.6483, 6.2831, 93.2122, 11.7516, 38.1451, 11.7516, 6.3407, 93.1123
026, 11.6904, 37.7662, 11.6904, 6.3095, 93.1854, 11.5530, 37.6793, 11.5530, 6.0986, 93.3634
027, 11.5245, 37.5604, 11.5245, 6.2426, 93.2532, 11.6827, 37.4988, 11.6827, 6.3801, 93.1912
028, 11.5555, 37.6061, 11.5555, 6.2735, 93.2182, 16.7709, 44.0018, 16.7709, 8.8323, 90.9841
029, 11.2422, 37.1932, 11.2422, 6.0859, 93.4051, 11.5804, 37.4358, 11.5804, 6.1168, 93.3847
030, 11.2842, 37.2482, 11.2842, 6.1174, 93.3698, 12.2074, 38.6150, 12.2074, 6.3255, 93.0561
031, 10.3138, 35.9829, 10.3138, 5.5774, 93.9170, 10.9498, 36.6135, 10.9498, 5.8832, 93.6593
032, 9.6830, 35.2267, 9.6830, 5.2024, 94.2889, 10.9067, 36.8364, 10.9067, 5.7360, 93.7747
033, 9.5706, 35.0839, 9.5706, 5.1664, 94.3276, 10.7625, 36.5971, 10.7625, 5.6388, 93.8467
034, 9.2382, 34.6441, 9.2382, 4.9545, 94.5335, 11.0629, 37.0811, 11.0629, 5.7709, 93.7853
035, 9.0712, 34.4557, 9.0712, 4.8837, 94.6031, 11.0544, 37.0717, 11.0544, 5.7633, 93.7838
036, 9.1084, 34.5114, 9.1084, 4.9143, 94.5773, 11.0730, 37.1342, 11.0730, 5.6897, 93.7906
037, 9.0999, 34.4909, 9.0999, 4.8872, 94.6040, 11.1675, 37.0714, 11.1675, 5.7033, 93.7633
038, 8.9068, 34.2364, 8.9068, 4.7782, 94.7102, 11.1920, 37.0218, 11.1920, 5.6669, 93.8414
039, 8.7766, 34.0974, 8.7766, 4.7275, 94.7567, 11.2423, 37.1888, 11.2423, 5.6821, 93.7838
040, 8.8323, 34.1473, 8.8323, 4.7404, 94.7527, 11.2994, 37.1822, 11.2994, 5.7367, 93.7663
041, 8.6770, 33.9665, 8.6770, 4.6463, 94.8409, 11.3558, 37.3084, 11.3558, 5.6700, 93.8384
042, 8.6121, 33.8701, 8.6121, 4.6125, 94.8719, 11.3192, 37.1661, 11.3192, 5.6654, 93.8179
043, 8.5347, 33.7602, 8.5347, 4.5962, 94.8885, 11.3025, 37.1497, 11.3025, 5.6669, 93.8179
044, 8.5135, 33.7674, 8.5135, 4.5623, 94.9231, 11.3936, 37.2503, 11.3936, 5.6115, 93.8460
045, 8.4190, 33.6251, 8.4190, 4.5322, 94.9563, 11.5121, 37.5145, 11.5121, 5.7344, 93.7929
046, 8.3977, 33.6036, 8.3977, 4.4909, 94.9988, 11.6028, 37.4737, 11.6028, 5.6692, 93.7929
047, 8.3419, 33.5255, 8.3419, 4.4548, 95.0292, 11.6871, 37.5328, 11.6871, 5.7147, 93.7678
048, 8.2875, 33.4561, 8.2875, 4.4311, 95.0532, 11.6358, 37.5625, 11.6358, 5.6927, 93.8042
049, 8.1594, 33.2954, 8.1594, 4.3774, 95.1051, 11.6926, 37.6490, 11.6926, 5.6980, 93.8217
050, 8.0678, 33.1721, 8.0678, 4.3320, 95.1499, 11.7371, 37.8481, 11.7371, 5.6533, 93.7929
051, 7.9976, 33.0896, 7.9976, 4.2620, 95.2078, 11.5934, 37.4814, 11.5934, 5.5948, 93.9105
052, 7.9871, 33.0559, 7.9871, 4.2821, 95.2004, 11.6023, 37.6655, 11.6023, 5.5971, 93.9021
053, 7.9987, 33.0958, 7.9987, 4.2611, 95.2206, 11.5543, 37.5602, 11.5543, 5.6176, 93.8945
054, 7.8399, 32.8829, 7.8399, 4.1944, 95.2948, 11.5962, 37.2902, 11.5962, 5.5918, 93.9143
055, 7.9357, 32.9975, 7.9357, 4.2389, 95.2413, 11.7143, 37.6295, 11.7143, 5.5986, 93.9074
056, 7.8724, 32.9277, 7.8724, 4.2175, 95.2708, 11.7076, 37.6335, 11.7076, 5.5986, 93.9082
057, 7.9139, 32.9857, 7.9139, 4.2518, 95.2299, 11.6730, 37.6131, 11.6730, 5.6237, 93.8961
