******************************************************************
records on FG_NET dataset under leave one person out protocol

******************************************************************


******************************************************************
train and test on ID: 1
******************************************************************
epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 23.3983, 9.1793, 89.9493
002, 16.1689, 6.9119, 93.0831
003, 13.3006, 5.6221, 94.3678
004, 11.9595, 5.1510, 94.8571
005, 11.4732, 4.9716, 95.0142
006, 11.2762, 4.7649, 95.2077
007, 10.7612, 4.6798, 95.3242
008, 10.4370, 4.3901, 95.6018
009, 9.4702, 4.0608, 95.9362
010, 9.4757, 4.0304, 95.9909
011, 8.9974, 3.8146, 96.1773
012, 8.8123, 3.7224, 96.2806
013, 8.7263, 3.7903, 96.2178
014, 8.8436, 3.8622, 96.1358
015, 8.7877, 3.7325, 96.2644
016, 8.5575, 3.6332, 96.3627
017, 8.1742, 3.5025, 96.4904
018, 7.7142, 3.2391, 96.7437
019, 7.0689, 3.0020, 97.0000
020, 7.1310, 2.9493, 97.0476
021, 7.0300, 3.0385, 96.9625
022, 6.7200, 2.8085, 97.1814
023, 6.7391, 2.8338, 97.1499
024, 6.8642, 2.8359, 97.1601
025, 6.4701, 2.6555, 97.3425
026, 6.5880, 2.7568, 97.2381
027, 6.0664, 2.5177, 97.4721
028, 6.1627, 2.6261, 97.3759
029, 6.3291, 2.6282, 97.3627
030, 6.2873, 2.6049, 97.3911
031, 5.3167, 2.2057, 97.7974
032, 5.1783, 2.0912, 97.9088
033, 5.0857, 2.1662, 97.8379
034, 4.6941, 1.9027, 98.0922
035, 4.6033, 1.9088, 98.0750
036, 4.5079, 1.8703, 98.1317
037, 4.6469, 1.9696, 98.0284
038, 4.6701, 1.8886, 98.0942
039, 4.1224, 1.6768, 98.3283
040, 4.5746, 1.8987, 98.1044
041, 4.2042, 1.7214, 98.2817
042, 3.9524, 1.6140, 98.3850
043, 4.4465, 1.7639, 98.2138
044, 4.0768, 1.6190, 98.3799
045, 3.9075, 1.5795, 98.4164
046, 3.7514, 1.5420, 98.4610
047, 3.9311, 1.5664, 98.4326
048, 3.8899, 1.5927, 98.4083
049, 4.1117, 1.7325, 98.2776
050, 3.7725, 1.5005, 98.4883
051, 3.6583, 1.4883, 98.5177
052, 3.6985, 1.5198, 98.4762
