******************************************************************
records on FG_NET dataset under leave one person out protocol

******************************************************************


******************************************************************
train and test on ID: 1
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 20.8547, 47.2888, 20.8547, 9.5724, 88.3219
002, 12.2689, 37.9202, 12.2689, 6.3546, 93.0859
003, 11.2837, 36.7988, 11.2837, 5.9200, 93.5392
004, 9.6387, 34.6968, 9.6387, 5.0030, 94.4224
005, 8.6221, 33.4303, 8.6221, 4.4549, 94.9935
006, 8.4541, 33.3159, 8.4541, 4.3901, 95.0713
007, 8.1259, 32.8303, 8.1259, 4.2685, 95.1726
008, 8.1834, 32.9946, 8.1834, 4.2371, 95.1818
009, 7.4778, 31.9514, 7.4778, 3.9220, 95.4868
010, 7.5779, 32.1935, 7.5779, 3.8875, 95.5461
011, 7.0636, 31.5528, 7.0636, 3.5947, 95.8327
012, 6.9380, 31.3304, 6.9380, 3.5532, 95.8716
013, 7.0496, 31.5417, 7.0496, 3.7062, 95.7181
014, 6.5221, 30.8062, 6.5221, 3.3435, 96.0793
015, 6.1105, 30.1807, 6.1105, 3.0780, 96.3403
016, 5.8663, 30.0293, 5.8663, 3.0385, 96.3771
017, 5.9911, 30.1844, 5.9911, 3.1185, 96.2809
018, 6.2084, 30.3792, 6.2084, 3.1874, 96.2113
019, 5.8546, 29.9827, 5.8546, 3.0547, 96.3495
020, 5.4678, 29.4835, 5.4678, 2.8126, 96.6095
021, 5.7307, 29.8063, 5.7307, 2.8855, 96.5225
022, 5.3330, 29.3091, 5.3330, 2.7254, 96.6872
023, 5.7274, 29.8244, 5.7274, 2.9392, 96.4795
024, 5.4662, 29.4404, 5.4662, 2.7670, 96.6473
025, 5.4886, 29.4985, 5.4886, 2.7194, 96.6903
026, 5.3144, 29.2694, 5.3144, 2.5998, 96.8090
027, 5.1622, 29.0398, 5.1622, 2.5937, 96.8070
028, 4.8376, 28.6911, 4.8376, 2.4215, 96.9554
029, 4.7918, 28.5420, 4.7918, 2.3607, 97.0608
030, 4.7930, 28.5834, 4.7930, 2.4002, 97.0649
031, 4.4295, 28.1292, 4.4295, 2.2391, 97.1723
032, 4.1993, 27.9190, 4.1993, 2.1256, 97.3023
033, 3.9119, 27.5575, 3.9119, 1.9970, 97.4773
034, 3.9317, 27.4499, 3.9317, 1.9362, 97.5039
035, 3.8849, 27.4985, 3.8849, 1.9635, 97.5070
036, 3.7275, 27.3663, 3.7275, 1.7872, 97.6707
037, 3.9134, 27.3656, 3.9134, 1.9291, 97.5428
038, 3.7838, 27.5196, 3.7838, 1.8734, 97.5868
039, 3.6063, 26.9869, 3.6063, 1.7639, 97.7127
040, 3.8140, 27.4628, 3.8140, 1.8521, 97.5633
041, 3.5771, 27.0291, 3.5771, 1.7224, 97.6994
042, 3.2592, 26.5949, 3.2592, 1.5674, 97.8856
043, 3.7969, 27.4994, 3.7969, 1.8551, 97.5561
044, 3.6332, 27.0941, 3.6332, 1.7335, 97.6953
045, 3.2253, 26.6065, 3.2253, 1.5724, 97.8703
046, 3.5818, 27.1152, 3.5818, 1.7487, 97.6533
047, 3.4276, 26.8194, 3.4276, 1.6707, 97.7741
048, 3.2476, 26.6714, 3.2476, 1.5400, 97.8693
049, 3.5679, 27.0590, 3.5679, 1.7994, 97.6584
050, 3.1970, 26.5253, 3.1970, 1.5167, 97.9378
051, 3.2140, 26.7456, 3.2140, 1.5593, 97.8826
052, 3.2027, 26.7141, 3.2027, 1.5471, 97.8754
053, 3.2853, 26.7408, 3.2853, 1.6292, 97.8283
054, 3.3477, 26.8732, 3.3477, 1.6413, 97.8242
055, 3.1892, 26.6218, 3.1892, 1.5471, 97.9174
056, 3.1172, 26.4371, 3.1172, 1.4620, 98.0095
057, 3.2831, 26.7415, 3.2831, 1.6261, 97.8150
058, 3.3218, 26.7769, 3.3218, 1.5765, 97.8232
059, 3.3208, 26.7534, 3.3208, 1.6201, 97.8406
060, 3.1304, 26.4517, 3.1304, 1.4914, 97.9839
061, 3.4286, 26.9488, 3.4286, 1.6150, 97.8294
062, 3.2922, 26.7989, 3.2922, 1.6342, 97.8365
063, 3.1017, 26.4367, 3.1017, 1.4944, 97.9696
064, 3.1969, 26.6565, 3.1969, 1.5481, 97.9020
065, 3.2390, 26.6548, 3.2390, 1.5805, 97.8375
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
