******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 12.8718, 5.6856, 94.2517
002, 10.3287, 4.5723, 95.4262
003, 9.8334, 4.3165, 95.6801
004, 9.3460, 4.1225, 95.8739
005, 8.9347, 3.9342, 96.0622
006, 8.8117, 3.8865, 96.1122
007, 8.6749, 3.7953, 96.2040
008, 8.4705, 3.7060, 96.2949
009, 8.4263, 3.6993, 96.2995
010, 8.1683, 3.5858, 96.4125
011, 7.9737, 3.5224, 96.4768
012, 7.9289, 3.4665, 96.5337
013, 7.8111, 3.3973, 96.6023
014, 7.8135, 3.4365, 96.5606
015, 7.6426, 3.3525, 96.6445
016, 7.4884, 3.2910, 96.7074
017, 7.3860, 3.2323, 96.7642
018, 7.3849, 3.2209, 96.7766
019, 7.3311, 3.1785, 96.8192
020, 7.2494, 3.1785, 96.8199
021, 7.0842, 3.1061, 96.8919
022, 7.1349, 3.1266, 96.8730
023, 6.8960, 3.0390, 96.9592
024, 6.8773, 3.0076, 96.9921
025, 6.8358, 3.0020, 96.9946
026, 6.7815, 2.9502, 97.0499
027, 6.6676, 2.9224, 97.0766
028, 6.6024, 2.8894, 97.1094
029, 6.6866, 2.9133, 97.0844
030, 6.5610, 2.8594, 97.1386
031, 5.9181, 2.5786, 97.4213
032, 5.5169, 2.3872, 97.6133
033, 5.3963, 2.3405, 97.6591
034, 5.2758, 2.2923, 97.7073
035, 5.1597, 2.2415, 97.7584
036, 5.2501, 2.2887, 97.7114
037, 5.0684, 2.2052, 97.7935
038, 5.0938, 2.1983, 97.8001
039, 4.9965, 2.1613, 97.8383
040, 4.9977, 2.1695, 97.8310
041, 4.8976, 2.1070, 97.8929
042, 4.8718, 2.1148, 97.8856
043, 4.9420, 2.1358, 97.8628
044, 4.8439, 2.1057, 97.8933
045, 4.8131, 2.0938, 97.9051
046, 4.7218, 2.0519, 97.9465
047, 4.6940, 2.0240, 97.9765
048, 4.7115, 2.0546, 97.9449
049, 4.6457, 2.0165, 97.9817
050, 4.6536, 2.0307, 97.9689
051, 4.5082, 1.9467, 98.0535
052, 4.5540, 1.9688, 98.0299
053, 4.4485, 1.9212, 98.0781
054, 4.4511, 1.9070, 98.0923
055, 4.4178, 1.9198, 98.0807
056, 4.4607, 1.9444, 98.0554
057, 4.4465, 1.9086, 98.0914
058, 4.3500, 1.8773, 98.1219
059, 4.4183, 1.9080, 98.0921
060, 4.4255, 1.9241, 98.0758
061, 4.4393, 1.9392, 98.0607
062, 4.4084, 1.8951, 98.1043
063, 4.4484, 1.9190, 98.0803
064, 4.4301, 1.9218, 98.0780
065, 4.3841, 1.8887, 98.1106
test_total_loss, test_argmax_MAE, test_accuracy:
7.4490, 2.7758, 97.2238
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.368, 0.560, 0.703, 0.803, 0.873, 0.919, 0.950, 0.969, 0.981, 0.989

