******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 12.8653, 5.6644, 94.2566
002, 10.5239, 4.6427, 95.3550
003, 9.7280, 4.2672, 95.7295
004, 9.3961, 4.1435, 95.8525
005, 9.2435, 4.0475, 95.9473
006, 8.8917, 3.9217, 96.0751
007, 8.7414, 3.8437, 96.1506
008, 8.5772, 3.7303, 96.2694
009, 8.4800, 3.7213, 96.2769
010, 8.2509, 3.6122, 96.3861
011, 8.2000, 3.5853, 96.4140
012, 8.1537, 3.5760, 96.4228
013, 7.8093, 3.4267, 96.5726
014, 7.7678, 3.4219, 96.5764
015, 7.5966, 3.3279, 96.6706
016, 7.7640, 3.4106, 96.5891
017, 7.4543, 3.2704, 96.7290
018, 7.4527, 3.2575, 96.7407
019, 7.1547, 3.1275, 96.8713
020, 7.3325, 3.2083, 96.7899
021, 7.1686, 3.1317, 96.8667
022, 7.1355, 3.1162, 96.8824
023, 7.0422, 3.0932, 96.9042
024, 6.9837, 3.0577, 96.9429
025, 6.8780, 3.0200, 96.9794
026, 6.8213, 2.9848, 97.0134
027, 6.8758, 3.0066, 96.9899
028, 6.6622, 2.9078, 97.0893
029, 6.6962, 2.9267, 97.0721
030, 6.5110, 2.8571, 97.1423
031, 5.9553, 2.5852, 97.4144
032, 5.5464, 2.4037, 97.5965
033, 5.4212, 2.3514, 97.6484
034, 5.3406, 2.3185, 97.6815
035, 5.2630, 2.2892, 97.7111
036, 5.1977, 2.2520, 97.7484
037, 5.2421, 2.2784, 97.7210
038, 5.1533, 2.2351, 97.7654
039, 5.0366, 2.1793, 97.8202
040, 4.9643, 2.1564, 97.8428
041, 4.9912, 2.1738, 97.8246
042, 4.9178, 2.1339, 97.8653
043, 4.9097, 2.1284, 97.8713
044, 4.9546, 2.1309, 97.8679
045, 4.8180, 2.0915, 97.9077
046, 4.7947, 2.0781, 97.9206
047, 4.7621, 2.0693, 97.9303
048, 4.8089, 2.1069, 97.8926
049, 4.7142, 2.0539, 97.9459
050, 4.6539, 2.0126, 97.9864
051, 4.5508, 1.9752, 98.0244
052, 4.6347, 2.0085, 97.9911
053, 4.6129, 1.9870, 98.0122
054, 4.5011, 1.9494, 98.0506
055, 4.5021, 1.9570, 98.0434
056, 4.5389, 1.9730, 98.0263
057, 4.5392, 1.9579, 98.0415
058, 4.4812, 1.9226, 98.0780
059, 4.5077, 1.9573, 98.0412
060, 4.5092, 1.9575, 98.0425
061, 4.5176, 1.9676, 98.0328
062, 4.5344, 1.9638, 98.0375
063, 4.4872, 1.9495, 98.0501
064, 4.4301, 1.9199, 98.0801
065, 4.4438, 1.9172, 98.0828
test_total_loss, test_argmax_MAE, test_accuracy:
7.3971, 2.7974, 97.2026
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.365, 0.555, 0.698, 0.800, 0.871, 0.919, 0.950, 0.968, 0.981, 0.988

