******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
001, 10.9340, 36.3113, 10.9340, 5.7590, 93.5084
002, 8.8149, 33.8750, 8.8149, 4.7327, 94.6928
003, 8.1019, 32.9931, 8.1019, 4.3449, 95.0792
004, 7.7804, 32.5880, 7.7804, 4.1713, 95.2668
005, 7.5468, 32.2952, 7.5468, 4.0424, 95.3843
006, 7.2343, 31.8968, 7.2343, 3.8738, 95.5622
007, 7.1329, 31.7745, 7.1329, 3.8272, 95.6014
008, 6.9521, 31.5369, 6.9521, 3.7087, 95.7216
009, 6.8083, 31.3531, 6.8083, 3.6285, 95.8022
010, 6.5994, 31.0962, 6.5994, 3.5329, 95.8977
011, 6.5872, 31.0809, 6.5872, 3.5113, 95.9203
012, 6.5324, 31.0045, 6.5324, 3.5105, 95.9192
013, 6.2907, 30.7012, 6.2907, 3.3666, 96.0630
014, 6.2876, 30.7061, 6.2876, 3.3716, 96.0622
015, 6.1744, 30.5634, 6.1744, 3.3043, 96.1253
016, 6.2809, 30.6908, 6.2809, 3.3827, 96.0493
017, 6.0421, 30.3859, 6.0421, 3.2309, 96.1935
018, 5.9954, 30.3303, 5.9954, 3.2206, 96.2090
019, 5.8620, 30.1579, 5.8620, 3.1487, 96.2775
020, 5.8827, 30.1935, 5.8827, 3.1711, 96.2545
021, 5.8192, 30.1087, 5.8192, 3.1258, 96.3060
022, 5.8067, 30.0950, 5.8067, 3.1086, 96.3253
023, 5.6897, 29.9521, 5.6897, 3.0525, 96.3752
024, 5.6809, 29.9305, 5.6809, 3.0239, 96.4028
025, 5.5833, 29.8107, 5.5833, 2.9775, 96.4454
026, 5.5065, 29.7136, 5.5065, 2.9771, 96.4522
027, 5.5786, 29.8123, 5.5786, 3.0080, 96.4204
028, 5.4742, 29.6715, 5.4742, 2.9366, 96.4950
029, 5.4318, 29.6181, 5.4318, 2.9055, 96.5278
030, 5.3147, 29.4730, 5.3147, 2.8641, 96.5669
031, 4.8662, 28.9120, 4.8662, 2.6163, 96.8253
032, 4.6219, 28.5973, 4.6219, 2.4787, 96.9590
033, 4.5499, 28.5130, 4.5499, 2.4424, 96.9973
034, 4.4364, 28.3559, 4.4364, 2.3793, 97.0532
035, 4.3638, 28.2778, 4.3638, 2.3233, 97.1092
036, 4.3278, 28.2129, 4.3278, 2.2983, 97.1324
037, 4.3556, 28.2526, 4.3556, 2.3356, 97.0913
038, 4.3508, 28.2524, 4.3508, 2.3382, 97.0884
039, 4.2216, 28.0770, 4.2216, 2.2595, 97.1681
040, 4.2083, 28.0632, 4.2083, 2.2544, 97.1724
041, 4.2151, 28.0703, 4.2151, 2.2579, 97.1653
042, 4.1729, 28.0160, 4.1729, 2.2306, 97.1891
043, 4.1179, 27.9406, 4.1179, 2.1881, 97.2353
044, 4.1863, 28.0259, 4.1863, 2.2313, 97.1884
045, 4.1072, 27.9309, 4.1072, 2.1996, 97.2258
046, 4.1081, 27.9272, 4.1081, 2.2080, 97.2190
047, 4.0200, 27.8171, 4.0200, 2.1373, 97.2856
048, 4.0887, 27.9055, 4.0887, 2.2038, 97.2118
049, 4.0458, 27.8422, 4.0458, 2.1617, 97.2557
050, 3.9213, 27.6897, 3.9213, 2.0936, 97.3307
051, 3.9151, 27.6656, 3.9151, 2.0867, 97.3259
052, 3.9388, 27.7111, 3.9388, 2.0899, 97.3203
053, 3.9472, 27.7234, 3.9472, 2.1107, 97.3020
054, 3.8444, 27.5764, 3.8444, 2.0493, 97.3743
055, 3.8642, 27.6111, 3.8642, 2.0672, 97.3508
056, 3.8637, 27.6206, 3.8637, 2.0668, 97.3473
057, 3.8414, 27.5772, 3.8414, 2.0384, 97.3802
058, 3.8245, 27.5529, 3.8245, 2.0386, 97.3801
059, 3.8619, 27.6061, 3.8619, 2.0598, 97.3648
060, 3.8465, 27.5917, 3.8465, 2.0580, 97.3596
061, 3.8857, 27.5989, 3.8857, 2.0989, 97.3366
062, 3.8750, 27.6316, 3.8750, 2.0577, 97.3559
063, 3.8002, 27.5084, 3.8002, 2.0253, 97.3968
064, 3.8088, 27.5398, 3.8088, 2.0425, 97.3791
065, 3.8114, 27.5450, 3.8114, 2.0467, 97.3832
test_total_loss, test_cross_entropy_loss, test_kl_loss, test_argmax_MAE, test_accuracy:
5.6455, 29.9731, 5.6455, 2.7544, 96.5963
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.372, 0.564, 0.705, 0.807, 0.875, 0.921, 0.950, 0.969, 0.981, 0.988

