******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 4.2480, 13.3453, 12.0335, 4.1449, 12.2881, 10.7558
002, 4.0210, 10.9550, 10.1618, 3.9628, 10.8954, 9.5325
003, 3.9358, 10.2128, 9.5271, 3.7929, 8.3836, 8.1831
004, 3.8793, 9.7641, 9.0695, 3.7651, 8.5292, 7.9898
005, 3.8547, 9.6012, 8.9556, 3.7796, 9.3844, 7.9710
006, 3.8209, 9.2919, 8.7327, 3.6986, 8.0485, 7.4863
007, 3.7825, 8.9044, 8.4326, 3.7207, 8.3093, 7.6871
008, 3.7576, 8.8438, 8.3420, 3.6776, 7.6459, 7.2660
009, 3.7390, 8.7749, 8.2412, 3.7015, 7.8923, 7.4323
010, 3.7242, 8.6696, 8.1607, 3.7669, 8.6103, 7.7128
011, 3.7048, 8.5371, 8.0504, 3.6551, 7.7748, 7.1257
012, 3.6806, 8.3946, 7.9084, 3.7561, 8.5777, 8.0123
013, 3.6796, 8.4202, 7.9155, 3.6650, 8.0637, 7.2000
014, 3.6656, 8.3280, 7.8204, 3.6303, 7.2017, 6.9109
015, 3.6519, 8.2660, 7.7965, 3.6493, 7.6164, 6.9830
016, 3.6348, 8.2202, 7.6862, 3.6798, 8.0235, 7.3980
017, 3.6308, 8.0783, 7.6325, 3.6218, 7.5603, 6.9468
018, 3.6101, 8.0853, 7.5823, 3.6565, 7.4420, 6.9823
019, 3.6106, 8.0837, 7.6060, 3.6014, 7.4147, 6.5914
020, 3.5957, 7.9872, 7.5364, 3.6969, 7.4443, 6.9493
021, 3.5862, 7.9654, 7.4720, 3.6619, 7.4882, 7.0485
022, 3.5709, 7.8988, 7.3669, 3.7992, 8.4094, 7.8191
023, 3.5584, 7.8299, 7.3381, 3.6834, 7.6490, 7.0023
024, 3.5550, 7.8073, 7.3131, 3.6297, 7.3662, 6.7597
025, 3.5455, 7.8578, 7.3289, 3.6353, 7.2017, 6.7561
026, 3.5332, 7.8487, 7.2874, 3.7066, 7.5171, 6.8941
027, 3.5242, 7.7456, 7.2133, 3.6832, 7.5201, 6.9113
028, 3.5101, 7.6541, 7.1882, 3.6832, 7.5891, 6.9098
029, 3.4999, 7.6524, 7.1518, 3.6475, 7.0190, 6.4513
030, 3.4907, 7.7481, 7.1720, 3.7014, 7.1842, 6.6797
031, 3.3145, 6.8861, 6.5112, 3.6465, 6.5989, 6.0409
032, 3.2385, 6.6989, 6.3293, 3.6719, 6.6240, 6.0252
033, 3.1784, 6.4856, 6.1670, 3.7518, 6.6755, 6.0745
034, 3.1362, 6.3678, 6.0267, 3.8006, 6.7165, 6.0924
035, 3.1244, 6.3529, 6.0048, 3.7974, 6.6558, 6.0649
036, 3.1009, 6.4077, 5.9803, 3.7923, 6.6338, 6.0376
037, 3.0619, 6.2436, 5.8987, 3.7962, 6.6368, 5.9981
038, 3.0362, 6.1312, 5.8543, 3.8276, 6.7271, 6.1212
039, 3.0042, 6.0785, 5.7881, 3.8510, 6.7582, 6.1288
040, 3.0041, 6.0750, 5.8419, 3.8898, 6.8044, 6.0263
041, 2.9833, 6.0558, 5.7808, 3.8913, 6.7703, 6.0539
042, 2.9375, 5.9661, 5.7128, 3.8978, 6.6050, 6.0040
043, 2.9244, 5.8606, 5.6873, 3.9179, 6.5679, 5.9861
044, 2.8991, 5.8998, 5.6701, 3.9647, 6.6884, 6.0727
045, 2.8734, 5.8148, 5.6223, 3.9078, 6.6300, 6.0756
046, 2.8459, 5.6220, 5.5273, 3.9398, 6.5921, 5.9966
047, 2.8244, 5.6408, 5.5239, 3.9522, 6.6467, 5.9789
048, 2.7930, 5.6006, 5.4874, 4.0434, 6.7733, 6.1800
049, 2.7658, 5.4800, 5.4130, 4.0565, 6.5868, 6.0200
050, 2.7385, 5.5198, 5.4764, 4.1536, 6.8188, 6.1829
051, 2.6327, 5.1904, 5.2430, 4.0127, 6.5353, 5.9330
052, 2.5944, 5.1253, 5.2054, 4.0475, 6.5133, 5.9154
053, 2.5753, 5.0134, 5.1056, 4.0063, 6.4147, 5.9234
054, 2.5588, 4.9751, 5.0731, 4.0087, 6.4905, 5.8808
055, 2.5404, 4.9144, 5.0875, 4.0382, 6.4989, 5.9168
056, 2.5612, 5.0606, 5.1823, 4.0618, 6.4738, 5.9114
057, 2.5360, 4.9604, 5.1064, 4.0665, 6.5027, 5.9554
058, 2.5225, 4.8950, 5.0670, 4.0955, 6.4890, 5.9671
