******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 4.2746, 13.3831, 12.0937, 4.0287, 11.1926, 10.2958
002, 4.0416, 10.9612, 10.1651, 4.0585, 11.1190, 9.7732
003, 3.9491, 10.0592, 9.3811, 3.8665, 9.1357, 8.6351
004, 3.8834, 9.7571, 9.0849, 3.7853, 8.2563, 7.6774
005, 3.8467, 9.4945, 8.8532, 3.7300, 8.3647, 7.5556
006, 3.8138, 9.2484, 8.6076, 3.7473, 8.0857, 7.6104
007, 3.7883, 9.0578, 8.4996, 3.7238, 8.3662, 7.6447
008, 3.7543, 8.8256, 8.2909, 3.7415, 8.4496, 7.5530
009, 3.7344, 8.7305, 8.1737, 3.7483, 8.0485, 7.7011
010, 3.7155, 8.5660, 8.0527, 3.6471, 7.4420, 7.0999
011, 3.7115, 8.5411, 8.0219, 3.6848, 8.1069, 7.2998
012, 3.6940, 8.4562, 7.9348, 3.6862, 7.5777, 7.1069
013, 3.6748, 8.3409, 7.8296, 3.6900, 7.8453, 7.3711
014, 3.6648, 8.3815, 7.7792, 3.7479, 8.3594, 7.7965
015, 3.6431, 8.1650, 7.6604, 3.6683, 7.7202, 7.2352
016, 3.6394, 8.2563, 7.6853, 3.6811, 8.0432, 7.3186
017, 3.6189, 8.1877, 7.6274, 3.7380, 8.0409, 7.2744
018, 3.6142, 8.1490, 7.5744, 3.6830, 7.4496, 7.2219
019, 3.5925, 7.9420, 7.4449, 3.7575, 8.0174, 7.5331
020, 3.5879, 7.9079, 7.4306, 3.6690, 7.6513, 7.1133
021, 3.5704, 7.7854, 7.3180, 3.6536, 7.4026, 6.8847
022, 3.5690, 7.7738, 7.3371, 3.6329, 7.3260, 6.8081
023, 3.5711, 7.9848, 7.4617, 3.6983, 7.6603, 6.8695
024, 3.5510, 7.8069, 7.3054, 3.6734, 7.5845, 6.8481
025, 3.5406, 7.7920, 7.2433, 3.7291, 7.9287, 7.3595
026, 3.5370, 7.8027, 7.2932, 3.7193, 7.5512, 7.2815
027, 3.5279, 7.7775, 7.2680, 3.7406, 7.5390, 6.9938
028, 3.5104, 7.6284, 7.1393, 3.6294, 7.3101, 6.6831
029, 3.5153, 7.6874, 7.2375, 3.6854, 7.1971, 6.6862
030, 3.4997, 7.6104, 7.1293, 3.6442, 7.4867, 6.7469
031, 3.3172, 6.9159, 6.4795, 3.6855, 6.8264, 6.2195
032, 3.2369, 6.6080, 6.2275, 3.7280, 6.8400, 6.1840
033, 3.1986, 6.5197, 6.1343, 3.7654, 6.8082, 6.1655
034, 3.1675, 6.3130, 6.0069, 3.8095, 6.6012, 6.1187
035, 3.1488, 6.3833, 5.9935, 3.7957, 6.6164, 6.1224
036, 3.1261, 6.3304, 5.9706, 3.7981, 6.6535, 6.1651
037, 3.1030, 6.2073, 5.9441, 3.7936, 6.6960, 6.1259
038, 3.0632, 6.1725, 5.8461, 3.8030, 6.7801, 6.1089
039, 3.0381, 6.0168, 5.7468, 3.8408, 6.8597, 6.1913
040, 3.0176, 5.9312, 5.6827, 3.8761, 6.7741, 6.1899
041, 3.0181, 6.0554, 5.8023, 3.8573, 6.6702, 6.1656
042, 2.9874, 5.9772, 5.7064, 3.8792, 6.9075, 6.2102
043, 2.9549, 5.8421, 5.6082, 3.9044, 6.7688, 6.1415
044, 2.9402, 5.8614, 5.6622, 3.9030, 6.8302, 6.1603
045, 2.9240, 5.7904, 5.6143, 3.9419, 6.8810, 6.2151
046, 2.8918, 5.8003, 5.5699, 3.9135, 6.7794, 6.1156
047, 2.8674, 5.6000, 5.4687, 3.9695, 6.8173, 6.2399
048, 2.8236, 5.5732, 5.4178, 4.0109, 6.8757, 6.2650
049, 2.8107, 5.5646, 5.4048, 4.0525, 6.8074, 6.2040
050, 2.7850, 5.5034, 5.3881, 4.1152, 6.7908, 6.1940
051, 2.6919, 5.3119, 5.2877, 4.0205, 6.7521, 6.1692
052, 2.6573, 5.1197, 5.2059, 4.0570, 6.7013, 6.1648
053, 2.6282, 4.8633, 5.0200, 4.0444, 6.7665, 6.1496
054, 2.6279, 5.0569, 5.0982, 4.0405, 6.7953, 6.1506
055, 2.6104, 5.0428, 5.1137, 4.0767, 6.7961, 6.1640
056, 2.6221, 5.1178, 5.2083, 4.0529, 6.8317, 6.1654
057, 2.5942, 4.9440, 5.0400, 4.0464, 6.8438, 6.1234
058, 2.5966, 5.0678, 5.1103, 4.0990, 6.8234, 6.1245
059, 2.5852, 4.9793, 5.0751, 4.0841, 6.8014, 6.1364
060, 2.5760, 4.9287, 5.0391, 4.0700, 6.8362, 6.1475
061, 2.5564, 4.8798, 4.9860, 4.0500, 6.7854, 6.1427
062, 2.5542, 4.8355, 5.0264, 4.0833, 6.7430, 6.1290
063, 2.5560, 4.8426, 4.9668, 4.0715, 6.7991, 6.1467
064, 2.5599, 4.9180, 5.0030, 4.0568, 6.8241, 6.1332
065, 2.5586, 4.9124, 5.0381, 4.1007, 6.8112, 6.1512
test_loss, test_argmax_MAE:
3.7796, 6.5948
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.154, 0.251, 0.341, 0.434, 0.515, 0.586, 0.654, 0.718, 0.763, 0.806

test_loss, test_exp_MAE:
3.7729, 6.0380
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.107, 0.219, 0.329, 0.426, 0.516, 0.597, 0.667, 0.726, 0.777, 0.820

