******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_argmax_MAE, train_exp_MAE, valid_loss, valid_argmax_MAE, valid_exp_MAE
001, 1.533, 11.678, 10.774, 1.621, 11.691, 10.870
002, 1.383, 10.067, 9.293, 1.303, 9.241, 8.259
003, 1.322, 9.478, 8.774, 1.202, 7.870, 7.655
004, 1.280, 9.050, 8.407, 1.260, 8.483, 7.840
005, 1.269, 8.982, 8.377, 1.211, 8.362, 7.446
006, 1.249, 8.727, 8.163, 1.133, 7.685, 7.055
007, 1.221, 8.528, 7.924, 1.156, 7.824, 7.094
008, 1.208, 8.411, 7.882, 1.174, 7.866, 7.240
009, 1.195, 8.336, 7.785, 1.090, 7.129, 6.847
010, 1.182, 8.129, 7.682, 1.208, 7.923, 7.444
011, 1.172, 8.050, 7.577, 1.183, 7.991, 7.155
012, 1.160, 8.016, 7.532, 1.235, 8.158, 7.689
013, 1.159, 7.916, 7.475, 1.083, 7.107, 6.526
014, 1.149, 7.878, 7.401, 1.093, 6.936, 6.713
015, 1.139, 7.746, 7.337, 1.067, 7.024, 6.453
016, 1.127, 7.663, 7.280, 1.057, 6.785, 6.377
017, 1.123, 7.595, 7.207, 1.081, 7.020, 6.479
018, 1.111, 7.538, 7.153, 1.117, 7.096, 6.885
019, 1.114, 7.550, 7.170, 1.081, 7.127, 6.536
020, 1.109, 7.500, 7.169, 1.133, 7.318, 6.903
021, 1.094, 7.339, 7.004, 1.096, 7.249, 6.683
022, 1.090, 7.349, 6.974, 1.217, 7.515, 7.216
023, 1.089, 7.338, 7.000, 1.083, 6.981, 6.628
024, 1.080, 7.226, 6.891, 1.053, 6.822, 6.300
025, 1.085, 7.351, 7.025, 1.094, 6.869, 6.628
026, 1.071, 7.206, 6.860, 1.114, 7.030, 6.572
027, 1.069, 7.153, 6.868, 1.085, 6.911, 6.468
028, 1.059, 7.146, 6.834, 1.113, 7.125, 6.719
029, 1.060, 7.120, 6.783, 1.078, 6.632, 6.427
030, 1.052, 7.055, 6.773, 1.106, 6.889, 6.592
031, 0.964, 6.244, 6.143, 1.006, 6.273, 6.029
032, 0.934, 5.993, 5.966, 1.010, 6.274, 6.057
033, 0.912, 5.818, 5.825, 1.016, 6.297, 6.019
034, 0.891, 5.692, 5.683, 1.008, 6.212, 5.949
035, 0.893, 5.729, 5.679, 1.004, 6.066, 5.886
036, 0.880, 5.639, 5.599, 1.009, 6.204, 5.915
037, 0.872, 5.594, 5.528, 1.019, 6.135, 5.887
038, 0.863, 5.573, 5.489, 1.020, 6.164, 5.896
039, 0.854, 5.479, 5.410, 1.028, 6.160, 5.931
040, 0.857, 5.497, 5.468, 1.046, 6.305, 5.975
041, 0.845, 5.399, 5.350, 1.028, 6.191, 5.902
042, 0.832, 5.291, 5.293, 1.032, 6.125, 5.885
043, 0.828, 5.318, 5.299, 1.071, 6.303, 6.008
044, 0.827, 5.340, 5.276, 1.069, 6.202, 5.941
045, 0.820, 5.301, 5.220, 1.063, 6.312, 6.008
046, 0.803, 5.152, 5.122, 1.060, 6.197, 5.887
047, 0.807, 5.189, 5.160, 1.065, 6.201, 5.896
048, 0.797, 5.123, 5.097, 1.074, 6.204, 5.909
049, 0.794, 5.117, 5.059, 1.088, 6.221, 5.924
050, 0.792, 5.070, 5.060, 1.107, 6.274, 6.020
051, 0.771, 4.974, 4.929, 1.072, 6.157, 5.915
052, 0.757, 4.824, 4.848, 1.074, 6.138, 5.893
053, 0.753, 4.859, 4.834, 1.065, 6.158, 5.901
054, 0.745, 4.721, 4.757, 1.064, 6.113, 5.885
055, 0.744, 4.723, 4.754, 1.078, 6.137, 5.895
056, 0.760, 4.881, 4.900, 1.075, 6.145, 5.902
057, 0.748, 4.770, 4.802, 1.080, 6.177, 5.915
058, 0.754, 4.871, 4.854, 1.089, 6.198, 5.923
059, 0.742, 4.724, 4.744, 1.085, 6.180, 5.912
060, 0.750, 4.828, 4.810, 1.076, 6.172, 5.902
061, 0.743, 4.729, 4.736, 1.077, 6.161, 5.914
062, 0.742, 4.753, 4.738, 1.078, 6.213, 5.911
063, 0.745, 4.806, 4.775, 1.078, 6.181, 5.869
064, 0.748, 4.812, 4.786, 1.084, 6.177, 5.917
065, 0.736, 4.669, 4.725, 1.083, 6.129, 5.906
test_loss, test_argmax_MAE:
0.993, 6.019
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.174, 0.278, 0.390, 0.486, 0.570, 0.646, 0.708, 0.759, 0.797, 0.835

test_loss, test_exp_MAE:
1.050, 5.774
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.112, 0.233, 0.345, 0.450, 0.547, 0.633, 0.701, 0.749, 0.798, 0.837

