******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 24.5987, 10.7234, 89.1912, 22.5533, 9.7208, 90.2958
002, 21.2558, 9.3688, 90.7076, 20.6997, 9.1472, 90.9193
003, 20.2499, 8.9196, 91.1642, 17.9655, 7.9446, 92.1408
004, 19.7011, 8.6879, 91.3905, 18.0643, 7.9454, 92.1310
005, 19.3498, 8.5592, 91.5234, 16.9827, 7.3885, 92.6914
006, 18.9092, 8.3801, 91.6978, 15.9628, 6.9954, 93.0738
007, 18.4653, 8.1329, 91.9432, 16.3985, 7.3300, 92.7320
008, 18.2585, 8.0564, 92.0196, 16.3091, 7.1343, 92.9506
009, 18.0842, 7.9484, 92.1259, 15.4902, 6.7709, 93.2917
010, 17.6262, 7.7831, 92.2955, 15.7857, 6.8748, 93.1933
011, 17.6149, 7.7609, 92.3080, 15.4316, 6.7382, 93.3165
012, 17.3296, 7.5947, 92.4771, 16.1163, 6.9173, 93.1512
013, 17.2607, 7.6202, 92.4524, 15.8391, 7.1335, 92.9341
014, 17.0589, 7.5298, 92.5439, 14.9541, 6.6950, 93.3713
015, 16.6227, 7.3218, 92.7526, 16.2282, 7.1085, 92.9499
016, 16.4739, 7.2846, 92.7905, 15.0015, 6.5751, 93.4855
017, 16.6398, 7.3390, 92.7324, 15.4811, 6.7026, 93.3653
018, 16.3299, 7.2052, 92.8669, 14.6933, 6.4105, 93.6507
019, 16.1458, 7.1267, 92.9429, 16.9111, 7.4476, 92.6306
020, 16.0521, 7.0884, 92.9811, 14.6535, 6.4605, 93.6049
021, 16.1018, 7.0511, 93.0155, 15.2261, 6.6889, 93.3803
022, 15.9098, 7.0003, 93.0703, 15.4006, 6.7291, 93.3337
023, 15.7767, 6.9330, 93.1357, 14.7442, 6.4613, 93.6027
024, 15.7193, 6.9040, 93.1645, 15.1154, 6.5880, 93.4705
025, 15.4216, 6.7564, 93.3073, 15.3517, 6.7815, 93.2909
026, 15.3925, 6.7708, 93.2959, 15.1051, 6.5941, 93.4705
027, 15.3563, 6.7618, 93.3037, 14.8727, 6.3483, 93.7161
028, 15.2912, 6.7557, 93.3108, 16.3612, 7.0766, 92.9844
029, 14.9914, 6.5703, 93.4951, 14.5678, 6.2299, 93.8325
030, 14.9308, 6.5391, 93.5267, 14.6001, 6.2436, 93.8100
031, 13.8697, 6.0752, 93.9848, 13.9959, 5.9643, 94.0940
032, 13.3151, 5.8362, 94.2216, 13.6223, 5.8202, 94.2382
033, 13.2720, 5.8136, 94.2437, 13.5458, 5.7967, 94.2615
034, 12.9889, 5.6984, 94.3570, 13.8448, 5.8665, 94.1909
035, 12.8474, 5.6284, 94.4274, 13.6248, 5.8225, 94.2359
036, 12.8117, 5.6127, 94.4428, 13.7407, 5.8065, 94.2487
037, 12.8153, 5.5993, 94.4564, 13.8078, 5.8687, 94.1886
038, 12.6178, 5.5240, 94.5319, 13.7640, 5.7929, 94.2660
039, 12.5834, 5.5061, 94.5483, 13.7222, 5.8422, 94.2164
040, 12.5908, 5.5007, 94.5541, 13.9549, 5.8786, 94.1796
041, 12.3951, 5.4127, 94.6408, 13.9805, 5.8020, 94.2555
042, 12.4769, 5.4620, 94.5914, 14.1919, 5.9219, 94.1360
043, 12.2833, 5.3880, 94.6645, 13.7732, 5.7656, 94.2893
044, 12.3101, 5.3768, 94.6758, 13.9109, 5.7951, 94.2615
045, 12.1546, 5.2970, 94.7549, 14.0166, 5.8414, 94.2157
046, 12.2892, 5.3610, 94.6918, 14.0752, 5.8331, 94.2239
047, 12.1754, 5.2869, 94.7648, 13.8637, 5.8278, 94.2292
048, 12.1850, 5.3158, 94.7362, 13.8727, 5.7868, 94.2697
049, 11.9658, 5.2060, 94.8464, 13.9129, 5.7587, 94.2975
050, 11.7924, 5.1339, 94.9160, 14.2611, 5.8877, 94.1698
051, 11.7752, 5.1163, 94.9346, 14.1711, 5.8323, 94.2224
052, 11.8411, 5.1495, 94.9028, 14.0417, 5.7876, 94.2682
053, 11.8588, 5.1617, 94.8898, 13.9764, 5.8005, 94.2570
054, 11.7389, 5.1085, 94.9419, 13.9528, 5.8005, 94.2555
055, 11.7394, 5.1042, 94.9450, 13.9896, 5.7618, 94.2953
056, 11.7638, 5.1145, 94.9363, 14.0244, 5.7648, 94.2923
057, 11.6791, 5.0938, 94.9567, 13.9979, 5.7777, 94.2795
058, 11.7235, 5.0989, 94.9504, 14.0761, 5.8042, 94.2517
059, 11.7592, 5.1262, 94.9241, 14.0277, 5.7951, 94.2607
060, 11.6289, 5.0487, 95.0010, 13.9296, 5.7557, 94.2998
061, 11.7213, 5.0987, 94.9519, 14.0330, 5.7747, 94.2825
062, 11.7464, 5.1035, 94.9475, 13.9987, 5.7519, 94.3043
063, 11.4482, 4.9757, 95.0739, 13.9620, 5.7618, 94.2945
064, 11.5605, 5.0274, 95.0231, 13.9404, 5.7473, 94.3096
065, 11.5154, 5.0061, 95.0442, 14.0302, 5.7739, 94.2825
test_total_loss, test_argmax_MAE, test_accuracy:
13.8489, 5.6906, 94.3666
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.174, 0.282, 0.396, 0.493, 0.584, 0.658, 0.725, 0.780, 0.828, 0.858

test_total_loss, test_argmax_MAE, test_accuracy:
13.8489, 5.6906, 94.3666
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.174, 0.282, 0.396, 0.493, 0.584, 0.658, 0.725, 0.780, 0.828, 0.858

