******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 20.0169, 47.8680, 20.0169, 10.7207, 88.5247, 17.4923, 43.5397, 17.4923, 9.5663, 90.0235
002, 17.1533, 44.5901, 17.1533, 9.3432, 90.1479, 20.0565, 47.0093, 20.0565, 11.1456, 88.6528
003, 16.3008, 43.5297, 16.3008, 8.9245, 90.5706, 15.2584, 41.3802, 15.2584, 8.3692, 91.2320
004, 15.8021, 42.9073, 15.8021, 8.5724, 90.9181, 14.2303, 40.7047, 14.2303, 7.6801, 91.8757
005, 15.4002, 42.4149, 15.4002, 8.4219, 91.0637, 13.9374, 40.5887, 13.9374, 7.4981, 91.8696
006, 15.1132, 42.0545, 15.1132, 8.2451, 91.2475, 13.8750, 39.9322, 13.8750, 7.7187, 91.8976
007, 14.8300, 41.6948, 14.8300, 8.0840, 91.4111, 13.3922, 39.8340, 13.3922, 7.2244, 92.3177
008, 14.7336, 41.5855, 14.7336, 8.0301, 91.4618, 14.0200, 40.5251, 14.0200, 7.8006, 91.8552
009, 14.4129, 41.1847, 14.4129, 7.8501, 91.6493, 12.8203, 39.0294, 12.8203, 6.9545, 92.5027
010, 14.2454, 40.9823, 14.2454, 7.7437, 91.7495, 12.6492, 38.7261, 12.6492, 6.9500, 92.5830
011, 14.0822, 40.7730, 14.0822, 7.6920, 91.8026, 13.4113, 39.9879, 13.4113, 7.6270, 91.9833
012, 14.0260, 40.7028, 14.0260, 7.6439, 91.8485, 14.5446, 41.2321, 14.5446, 8.0227, 91.6793
013, 13.8004, 40.4142, 13.8004, 7.5051, 91.9881, 12.3990, 38.8924, 12.3990, 6.8741, 92.7127
014, 13.6495, 40.2324, 13.6495, 7.4248, 92.0738, 12.3993, 38.3371, 12.3993, 6.8203, 92.7248
015, 13.4723, 40.0058, 13.4723, 7.3323, 92.1577, 12.4552, 38.7559, 12.4552, 6.6725, 92.7263
016, 13.3734, 39.8883, 13.3734, 7.2717, 92.2204, 12.1998, 38.2216, 12.1998, 6.5921, 92.9121
017, 13.1892, 39.6503, 13.1892, 7.1370, 92.3501, 12.8897, 39.1686, 12.8897, 7.0743, 92.5436
018, 13.1789, 39.6440, 13.1789, 7.1761, 92.3139, 12.5671, 39.0370, 12.5671, 6.8544, 92.7460
019, 13.0940, 39.5400, 13.0940, 7.1354, 92.3602, 12.8116, 39.5237, 12.8116, 7.1145, 92.5140
020, 13.0832, 39.5215, 13.0832, 7.0905, 92.4011, 11.9480, 38.5018, 11.9480, 6.3995, 93.0402
021, 12.8161, 39.1968, 12.8161, 6.9691, 92.5217, 12.1270, 38.0711, 12.1270, 6.4966, 93.0265
022, 12.6438, 38.9743, 12.6438, 6.8654, 92.6264, 11.9892, 38.3996, 11.9892, 6.4905, 93.0493
023, 12.8094, 39.1803, 12.8094, 6.9959, 92.4987, 11.6794, 37.6233, 11.6794, 6.2745, 93.1979
024, 12.4787, 38.7681, 12.4787, 6.7680, 92.7300, 11.6279, 37.9520, 11.6279, 6.2889, 93.1304
025, 12.5474, 38.8455, 12.5474, 6.7849, 92.7038, 12.7471, 39.5703, 12.7471, 7.0402, 92.5807
026, 12.3908, 38.6721, 12.3908, 6.7345, 92.7613, 11.9726, 38.0646, 11.9726, 6.4594, 93.0144
027, 12.2474, 38.4727, 12.2474, 6.6595, 92.8322, 12.2210, 38.4909, 12.2210, 6.6710, 92.8582
028, 12.1896, 38.4095, 12.1896, 6.6157, 92.8797, 12.2264, 38.1562, 12.2264, 6.4155, 93.0061
029, 12.0490, 38.2317, 12.0490, 6.5238, 92.9689, 11.6441, 37.2452, 11.6441, 6.2221, 93.3048
030, 12.0767, 38.2556, 12.0767, 6.5768, 92.9119, 11.5549, 37.4402, 11.5549, 6.2479, 93.2282
031, 11.0783, 36.9729, 11.0783, 5.9725, 93.5166, 11.2085, 37.1203, 11.2085, 6.0660, 93.4738
032, 10.8594, 36.7196, 10.8594, 5.8746, 93.6224, 11.0528, 36.9466, 11.0528, 6.0212, 93.5064
033, 10.6928, 36.5080, 10.6928, 5.7806, 93.7152, 11.0677, 37.0579, 11.0677, 5.9462, 93.5785
034, 10.5597, 36.3451, 10.5597, 5.7051, 93.7885, 10.9522, 36.8804, 10.9522, 5.8476, 93.6679
035, 10.5120, 36.3009, 10.5120, 5.6595, 93.8374, 11.1783, 37.1661, 11.1783, 5.8946, 93.5785
036, 10.4979, 36.2869, 10.4979, 5.6737, 93.8230, 11.0676, 37.0410, 11.0676, 5.8673, 93.6490
