******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 19.3430, 47.1793, 19.3430, 10.4875, 88.8656, 17.9175, 46.1251, 17.9175, 10.4685, 89.2456
002, 16.7296, 44.0599, 16.7296, 9.1674, 90.3275, 14.5109, 41.2810, 14.5109, 7.9386, 91.6452
003, 15.8147, 42.9263, 15.8147, 8.6261, 90.8705, 13.8802, 40.6537, 13.8802, 7.5125, 91.9318
004, 15.4514, 42.4761, 15.4514, 8.4378, 91.0596, 13.0653, 39.5788, 13.0653, 7.1327, 92.4170
005, 14.8646, 41.7399, 14.8646, 8.0727, 91.4212, 13.0799, 40.0262, 13.0799, 7.1395, 92.3806
006, 14.5121, 41.3059, 14.5121, 7.9020, 91.5912, 12.7989, 39.3156, 12.7989, 6.9318, 92.4973
007, 14.4391, 41.2210, 14.4391, 7.8691, 91.6217, 13.1586, 39.5877, 13.1586, 7.2623, 92.3343
008, 14.1715, 40.8847, 14.1715, 7.7215, 91.7732, 13.5348, 39.0766, 13.5348, 7.6232, 92.0311
009, 13.8707, 40.4892, 13.8707, 7.5655, 91.9288, 12.1605, 38.7244, 12.1605, 6.6111, 92.8544
010, 13.7943, 40.4093, 13.7943, 7.5138, 91.9774, 12.5313, 39.3167, 12.5313, 6.8681, 92.6702
011, 13.5339, 40.0887, 13.5339, 7.3750, 92.1181, 12.3153, 38.4878, 12.3153, 6.6672, 92.7566
012, 13.3746, 39.8784, 13.3746, 7.2627, 92.2305, 15.5912, 43.0255, 15.5912, 8.6005, 91.1622
013, 13.2692, 39.7482, 13.2692, 7.2226, 92.2711, 13.2266, 39.4624, 13.2266, 7.3161, 92.3313
014, 12.9194, 39.3077, 12.9194, 7.0061, 92.4849, 12.0894, 38.2104, 12.0894, 6.5785, 92.9788
015, 12.9709, 39.3915, 12.9709, 7.0177, 92.4794, 12.5943, 39.2255, 12.5943, 6.7240, 92.6315
016, 12.8808, 39.2467, 12.8808, 6.9904, 92.5057, 12.6063, 38.3482, 12.6063, 6.9583, 92.6907
017, 12.6389, 38.9584, 12.6389, 6.8448, 92.6501, 11.8646, 38.0413, 11.8646, 6.2934, 93.1789
018, 12.5172, 38.8103, 12.5172, 6.7630, 92.7279, 12.0280, 38.2632, 12.0280, 6.6270, 92.9803
019, 12.3980, 38.6556, 12.3980, 6.7385, 92.7552, 13.3373, 39.3923, 13.3373, 7.3290, 92.3328
020, 12.1938, 38.3852, 12.1938, 6.6214, 92.8717, 11.6553, 37.7978, 11.6553, 6.1638, 93.3055
021, 12.0755, 38.2575, 12.0755, 6.5658, 92.9300, 12.1150, 37.9450, 12.1150, 6.6308, 92.9318
022, 12.0238, 38.1915, 12.0238, 6.5230, 92.9671, 11.4890, 37.2565, 11.4890, 6.0644, 93.4003
023, 11.9792, 38.1299, 11.9792, 6.5252, 92.9688, 11.4528, 37.3082, 11.4528, 6.3017, 93.2873
024, 11.8106, 37.9135, 11.8106, 6.3612, 93.1271, 12.0197, 38.5112, 12.0197, 6.4306, 93.0099
025, 11.8119, 37.9220, 11.8119, 6.4259, 93.0702, 12.4753, 38.8122, 12.4753, 6.5148, 92.7983
