******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_l1_loss, train_cross_entropy_loss, train_kl_loss, train_exp_MAE, valid_loss, valid_l1_loss, valid_cross_entropy_loss, valid_kl_loss, valid_exp_MAE
001, 12.2330, 10.6125, 4.1104, 1.6205, 10.613, 12.1472, 10.5027, 4.1165, 1.6445, 10.503
002, 10.8859, 9.4418, 3.9251, 1.4441, 9.442, 10.5749, 9.1623, 3.8814, 1.4126, 9.162
003, 10.3597, 8.9718, 3.8651, 1.3879, 8.972, 9.1741, 7.9063, 3.7354, 1.2678, 7.906
004, 10.1408, 8.7774, 3.8341, 1.3634, 8.777, 9.0153, 7.7550, 3.7294, 1.2603, 7.755
005, 9.8021, 8.4723, 3.8008, 1.3299, 8.472, 8.4199, 7.2486, 3.6354, 1.1713, 7.249
006, 9.5745, 8.2764, 3.7656, 1.2981, 8.276, 9.9410, 8.5512, 3.8489, 1.3898, 8.551
007, 9.4760, 8.1836, 3.7566, 1.2923, 8.184, 9.0564, 7.8160, 3.6983, 1.2404, 7.816
008, 9.4114, 8.1316, 3.7465, 1.2798, 8.132, 8.3277, 7.1648, 3.6242, 1.1629, 7.165
009, 9.1977, 7.9406, 3.7233, 1.2572, 7.941, 8.2880, 7.1286, 3.6160, 1.1594, 7.129
010, 9.1746, 7.9206, 3.7167, 1.2540, 7.921, 8.5340, 7.3396, 3.6594, 1.1944, 7.340
011, 8.9554, 7.7278, 3.6879, 1.2276, 7.728, 8.1241, 6.9795, 3.6089, 1.1446, 6.979
012, 8.9796, 7.7425, 3.6954, 1.2371, 7.743, 8.3856, 7.2062, 3.6317, 1.1794, 7.206
013, 8.8854, 7.6570, 3.6870, 1.2285, 7.657, 8.3094, 7.1274, 3.6364, 1.1821, 7.127
014, 8.6499, 7.4463, 3.6583, 1.2036, 7.446, 7.9390, 6.8185, 3.5762, 1.1205, 6.819
015, 8.6502, 7.4497, 3.6544, 1.2005, 7.450, 8.2775, 7.1077, 3.6304, 1.1698, 7.108
016, 8.6626, 7.4640, 3.6525, 1.1987, 7.464, 7.7979, 6.6899, 3.5496, 1.1080, 6.690
017, 8.5363, 7.3484, 3.6406, 1.1880, 7.348, 7.9303, 6.8075, 3.5741, 1.1228, 6.808
018, 8.5032, 7.3235, 3.6334, 1.1797, 7.323, 7.7931, 6.6842, 3.5563, 1.1089, 6.684
019, 8.3890, 7.2215, 3.6178, 1.1675, 7.221, 8.2860, 7.0773, 3.6605, 1.2088, 7.077
020, 8.3800, 7.2164, 3.6152, 1.1636, 7.216, 7.6741, 6.5848, 3.5360, 1.0892, 6.585
021, 8.2788, 7.1239, 3.6048, 1.1550, 7.124, 8.0492, 6.9073, 3.5997, 1.1419, 6.907
022, 8.1653, 7.0258, 3.5894, 1.1394, 7.026, 7.5365, 6.4476, 3.5376, 1.0888, 6.448
023, 8.1804, 7.0345, 3.5937, 1.1459, 7.034, 7.8538, 6.7137, 3.5802, 1.1401, 6.714
024, 8.1539, 7.0116, 3.5896, 1.1423, 7.012, 7.9669, 6.8173, 3.6086, 1.1496, 6.817
025, 8.1022, 6.9673, 3.5826, 1.1348, 6.967, 7.4598, 6.3854, 3.5149, 1.0744, 6.385
026, 8.0628, 6.9400, 3.5680, 1.1229, 6.940, 7.6571, 6.5452, 3.5600, 1.1119, 6.545
027, 8.0807, 6.9493, 3.5778, 1.1314, 6.949, 7.5869, 6.4922, 3.5416, 1.0947, 6.492
028, 7.9357, 6.8129, 3.5677, 1.1227, 6.813, 7.4880, 6.4155, 3.5112, 1.0725, 6.415
