******************************************************************
records on AgeDB dataset under 80%-20% protocol
******************************************************************


epoch, train_loss, train_MAE, valid_loss, valid_MAE
001, 11.9774, 11.9774, 9.5470, 9.5470
002, 9.6897, 9.6897, 10.5329, 10.5329
003, 9.2854, 9.2854, 8.0786, 8.0786
004, 8.8955, 8.8955, 8.4972, 8.4972
005, 8.8063, 8.8063, 7.5062, 7.5062
006, 8.6040, 8.6040, 7.5777, 7.5777
007, 8.4836, 8.4836, 7.5800, 7.5800
008, 8.3614, 8.3614, 7.2425, 7.2425
009, 8.1901, 8.1901, 7.1244, 7.1244
010, 8.1704, 8.1704, 7.0517, 7.0517
011, 8.0664, 8.0664, 7.0434, 7.0434
012, 8.0062, 8.0062, 7.0365, 7.0365
013, 7.9245, 7.9245, 7.0082, 7.0082
014, 7.8795, 7.8795, 7.1437, 7.1437
015, 7.8099, 7.8099, 7.1936, 7.1936
016, 7.7675, 7.7675, 6.8583, 6.8583
017, 7.6522, 7.6522, 7.8269, 7.8269
018, 7.6030, 7.6030, 7.2996, 7.2996
019, 7.6220, 7.6220, 7.1590, 7.1590
020, 7.5739, 7.5739, 6.6586, 6.6586
021, 7.5076, 7.5076, 6.6198, 6.6198
022, 7.4206, 7.4206, 6.9813, 6.9813
023, 7.4572, 7.4572, 6.5383, 6.5383
024, 7.3164, 7.3164, 6.5585, 6.5585
025, 7.4006, 7.4006, 6.6796, 6.6796
026, 7.3128, 7.3128, 6.5315, 6.5315
027, 7.1891, 7.1891, 6.5675, 6.5675
028, 7.2385, 7.2385, 7.1392, 7.1392
029, 7.1975, 7.1975, 6.5784, 6.5784
030, 7.1649, 7.1649, 6.3030, 6.3030
031, 6.6885, 6.6885, 6.2339, 6.2339
032, 6.5689, 6.5689, 6.2093, 6.2093
033, 6.5443, 6.5443, 6.1321, 6.1321
034, 6.4482, 6.4482, 6.1219, 6.1219
035, 6.4251, 6.4251, 6.0642, 6.0642
036, 6.4521, 6.4521, 6.0671, 6.0671
037, 6.3554, 6.3554, 6.0623, 6.0623
038, 6.2898, 6.2898, 6.0507, 6.0507
039, 6.2646, 6.2646, 6.0361, 6.0361
040, 6.3381, 6.3381, 6.0644, 6.0644
041, 6.2164, 6.2164, 5.9847, 5.9847
042, 6.2578, 6.2578, 6.0742, 6.0742
043, 6.1670, 6.1670, 6.0100, 6.0100
044, 6.1829, 6.1829, 6.0023, 6.0023
045, 6.2120, 6.2120, 5.9991, 5.9991
046, 6.1095, 6.1095, 5.9285, 5.9285
047, 6.1329, 6.1329, 5.9281, 5.9281
048, 6.1781, 6.1781, 5.9772, 5.9772
049, 6.0577, 6.0577, 6.1040, 6.1040
050, 6.1068, 6.1068, 6.0471, 6.0471
051, 6.0594, 6.0594, 5.9972, 5.9972
052, 6.0435, 6.0435, 5.9554, 5.9554
053, 5.9716, 5.9716, 5.9535, 5.9535
054, 5.9692, 5.9692, 5.9472, 5.9472
055, 5.9943, 5.9943, 6.0181, 6.0181
056, 6.0410, 6.0410, 5.9406, 5.9406
057, 6.0366, 6.0366, 5.9240, 5.9240
058, 5.9864, 5.9864, 5.9966, 5.9966
059, 5.9717, 5.9717, 6.0240, 6.0240
060, 6.0326, 6.0326, 5.9895, 5.9895
061, 5.9941, 5.9941, 5.9749, 5.9749
062, 5.9517, 5.9517, 5.9583, 5.9583
063, 5.9131, 5.9131, 5.9452, 5.9452
064, 5.9792, 5.9792, 6.0483, 6.0483
065, 5.9266, 5.9266, 5.9487, 5.9487
test_loss, test_MAE:
6.1247, 6.1247
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.112, 0.222, 0.328, 0.416, 0.509, 0.584, 0.655, 0.712, 0.764, 0.809

