******************************************************************
records on IMDB-WIKI dataset
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 15.4051, 42.2404, 15.4051, 8.5527, 91.3198, 14.5781, 41.3868, 14.5781, 8.4164, 91.6858
002, 14.3838, 40.9844, 14.3838, 7.9781, 91.9118, 13.6530, 39.8770, 13.6530, 7.8222, 92.3335
003, 14.0405, 40.5561, 14.0405, 7.7753, 92.1155, 13.3549, 39.6320, 13.3549, 7.7014, 92.5086
004, 13.8144, 40.2737, 13.8144, 7.6453, 92.2469, 13.1655, 39.3846, 13.1655, 7.5992, 92.6795
005, 13.6565, 40.0775, 13.6565, 7.5691, 92.3251, 13.1090, 39.2878, 13.1090, 7.5431, 92.6296
006, 13.5397, 39.9317, 13.5397, 7.5017, 92.3928, 13.0732, 39.2182, 13.0732, 7.6113, 92.6953
007, 13.3898, 39.7441, 13.3898, 7.4195, 92.4758, 13.2874, 39.6788, 13.2874, 7.5955, 92.5411
008, 13.3167, 39.6527, 13.3167, 7.3776, 92.5175, 13.0270, 39.2720, 13.0270, 7.4587, 92.7425
009, 13.2323, 39.5489, 13.2323, 7.3210, 92.5756, 12.8643, 39.0141, 12.8643, 7.4735, 92.8258
010, 13.1629, 39.4605, 13.1629, 7.2941, 92.6020, 12.7872, 39.2131, 12.7872, 7.3674, 92.7967
011, 13.0625, 39.3354, 13.0625, 7.2347, 92.6630, 14.0797, 40.8308, 14.0797, 8.0043, 92.0416
012, 13.0167, 39.2792, 13.0167, 7.2122, 92.6853, 12.7290, 38.9650, 12.7290, 7.3216, 92.8964
013, 12.9375, 39.1793, 12.9375, 7.1719, 92.7257, 12.4780, 38.7406, 12.4780, 7.2052, 93.0312
014, 12.8953, 39.1273, 12.8953, 7.1446, 92.7521, 12.8052, 38.7691, 12.8052, 7.4745, 92.8491
015, 12.8385, 39.0557, 12.8385, 7.1157, 92.7829, 12.6011, 38.8153, 12.6011, 7.2746, 92.9680
016, 12.8018, 39.0091, 12.8018, 7.0957, 92.8035, 12.6020, 38.5555, 12.6020, 7.2589, 92.9381
017, 12.7657, 38.9650, 12.7657, 7.0778, 92.8206, 12.4501, 38.5812, 12.4501, 7.1831, 93.0594
018, 12.7156, 38.9011, 12.7156, 7.0523, 92.8466, 12.5035, 38.5346, 12.5035, 7.2332, 93.0352
019, 12.6748, 38.8513, 12.6748, 7.0305, 92.8679, 12.7343, 38.6436, 12.7343, 7.4073, 92.9184
020, 12.6466, 38.8163, 12.6466, 7.0195, 92.8790, 13.0192, 39.4827, 13.0192, 7.6443, 92.7156
021, 12.6124, 38.7736, 12.6124, 7.0069, 92.8921, 12.5541, 38.7629, 12.5541, 7.2350, 93.0228
022, 12.5743, 38.7251, 12.5743, 6.9795, 92.9203, 12.4953, 38.6426, 12.4953, 7.2026, 93.0803
023, 12.5301, 38.6707, 12.5301, 6.9578, 92.9415, 12.5240, 38.6868, 12.5240, 7.2303, 93.0559
024, 12.5055, 38.6391, 12.5055, 6.9469, 92.9523, 12.4361, 38.3971, 12.4361, 7.2077, 93.0504
025, 12.4726, 38.5987, 12.4726, 6.9256, 92.9746, 13.0028, 39.3575, 13.0028, 7.3688, 92.7726
026, 12.4492, 38.5687, 12.4492, 6.9225, 92.9770, 12.6415, 38.8674, 12.6415, 7.2284, 92.9620
027, 12.4236, 38.5358, 12.4236, 6.9044, 92.9953, 12.4791, 38.3963, 12.4791, 7.2235, 93.0401
028, 12.3844, 38.4878, 12.3844, 6.8890, 93.0110, 12.6320, 38.6564, 12.6320, 7.3013, 92.9805
029, 12.3501, 38.4452, 12.3501, 6.8720, 93.0281, 12.5045, 38.5421, 12.5045, 7.3059, 93.0086
030, 12.3349, 38.4250, 12.3349, 6.8568, 93.0425, 12.5428, 38.5860, 12.5428, 7.1404, 93.0467
031, 11.5884, 37.4779, 11.5884, 6.4596, 93.4450, 12.0318, 38.0043, 12.0318, 6.8697, 93.3770
032, 11.3539, 37.1860, 11.3539, 6.3455, 93.5616, 12.0733, 38.0074, 12.0733, 6.8557, 93.3971
033, 11.2227, 37.0233, 11.2227, 6.2839, 93.6219, 12.1401, 38.1784, 12.1401, 6.8754, 93.3757
034, 11.1331, 36.9095, 11.1331, 6.2379, 93.6686, 12.1785, 38.1301, 12.1785, 6.8745, 93.3472
035, 11.0559, 36.8121, 11.0559, 6.2089, 93.6977, 12.1808, 38.2724, 12.1808, 6.8620, 93.4012
036, 10.9925, 36.7318, 10.9925, 6.1785, 93.7289, 12.2601, 38.3836, 12.2601, 6.8918, 93.3691
037, 10.9284, 36.6506, 10.9284, 6.1565, 93.7504, 12.4867, 38.6057, 12.4867, 6.9048, 93.3397
038, 10.8743, 36.5856, 10.8743, 6.1297, 93.7777, 12.2206, 38.2994, 12.2206, 6.8867, 93.3644
039, 10.7998, 36.4879, 10.7998, 6.0936, 93.8142, 12.4063, 38.5134, 12.4063, 6.9188, 93.3620
040, 10.7598, 36.4376, 10.7598, 6.0722, 93.8360, 12.3404, 38.3652, 12.3404, 6.8948, 93.3561
041, 10.7039, 36.3690, 10.7039, 6.0555, 93.8529, 12.4483, 38.4655, 12.4483, 6.8739, 93.3594
042, 10.6440, 36.2922, 10.6440, 6.0289, 93.8788, 12.6407, 38.7609, 12.6407, 7.0284, 93.2609
043, 10.6092, 36.2474, 10.6092, 6.0120, 93.8967, 12.4548, 38.5675, 12.4548, 6.9487, 93.2842
044, 10.5693, 36.1967, 10.5693, 5.9970, 93.9119, 12.6305, 38.6599, 12.6305, 7.0460, 93.2333
045, 10.5219, 36.1383, 10.5219, 5.9847, 93.9248, 12.4529, 38.4730, 12.4529, 6.8999, 93.3333
046, 10.4614, 36.0620, 10.4614, 5.9541, 93.9547, 12.6301, 38.7005, 12.6301, 6.9863, 93.2771
047, 10.4372, 36.0317, 10.4372, 5.9434, 93.9657, 12.7016, 38.9589, 12.7016, 7.0025, 93.2298
048, 10.3969, 35.9793, 10.3969, 5.9316, 93.9766, 12.8710, 39.1319, 12.8710, 7.0163, 93.2572
049, 10.3502, 35.9218, 10.3502, 5.9133, 93.9954, 12.7149, 38.7985, 12.7149, 7.0001, 93.2737
050, 10.3076, 35.8664, 10.3076, 5.8906, 94.0181, 12.8181, 38.9798, 12.8181, 7.0748, 93.2146
051, 10.0759, 35.5672, 10.0759, 5.7855, 94.1249, 12.9370, 39.1293, 12.9370, 7.0463, 93.2090
052, 9.9819, 35.4485, 9.9819, 5.7412, 94.1692, 13.0137, 39.3103, 13.0137, 7.0613, 93.1844
053, 9.9629, 35.4256, 9.9629, 5.7361, 94.1748, 13.0046, 39.2631, 13.0046, 7.0592, 93.1975
054, 9.8996, 35.3461, 9.8996, 5.7056, 94.2054, 13.1208, 39.4163, 13.1208, 7.0811, 93.1608
055, 9.9088, 35.3598, 9.9088, 5.7077, 94.2035, 13.0209, 39.2942, 13.0209, 7.0602, 93.1894
056, 9.8861, 35.3274, 9.8861, 5.7021, 94.2104, 13.0958, 39.3423, 13.0958, 7.0411, 93.2138
057, 9.8611, 35.2998, 9.8611, 5.6850, 94.2268, 13.1562, 39.3668, 13.1562, 7.0701, 93.1849
058, 9.8355, 35.2680, 9.8355, 5.6765, 94.2348, 13.0444, 39.3281, 13.0444, 7.0459, 93.1982
059, 9.8316, 35.2608, 9.8316, 5.6696, 94.2426, 13.1715, 39.4087, 13.1715, 7.0857, 93.1715
060, 9.8279, 35.2569, 9.8279, 5.6769, 94.2341, 13.0435, 39.3190, 13.0435, 7.0818, 93.1631
061, 9.7938, 35.2195, 9.7938, 5.6544, 94.2564, 13.0734, 39.3253, 13.0734, 7.0765, 93.1748
062, 9.8011, 35.2197, 9.8011, 5.6567, 94.2547, 13.1454, 39.3990, 13.1454, 7.1203, 93.1318
063, 9.7805, 35.1936, 9.7805, 5.6481, 94.2639, 13.2054, 39.3796, 13.2054, 7.1090, 93.1470
064, 9.7697, 35.1809, 9.7697, 5.6404, 94.2720, 13.2297, 39.4631, 13.2297, 7.0888, 93.1702
065, 9.7879, 35.2044, 9.7879, 5.6539, 94.2571, 13.1156, 39.2918, 13.1156, 7.0772, 93.1643
