******************************************************************
records on IMDB-WIKI dataset
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_argmax_MAE, valid_accuracy
001, 19.2876, 8.6427, 91.8184, 17.9151, 8.4029, 92.4204
002, 18.0062, 8.0478, 92.4212, 17.0626, 7.9558, 92.8689
003, 17.5471, 7.8208, 92.6483, 16.7191, 7.7998, 93.0249
004, 17.2609, 7.6868, 92.7825, 16.4606, 7.6010, 93.2233
005, 17.0517, 7.5962, 92.8729, 16.5381, 7.6977, 93.1268
006, 16.9025, 7.5255, 92.9437, 16.6257, 7.7185, 93.1056
007, 16.7196, 7.4508, 93.0183, 16.5666, 7.7269, 93.0973
008, 16.6172, 7.4049, 93.0643, 16.0634, 7.4643, 93.3592
009, 16.5040, 7.3436, 93.1257, 16.0621, 7.4747, 93.3497
010, 16.4128, 7.3115, 93.1577, 15.9785, 7.4906, 93.3338
011, 16.2862, 7.2513, 93.2179, 17.6622, 8.2300, 92.5963
012, 16.2345, 7.2299, 93.2392, 15.9595, 7.4291, 93.3950
013, 16.1235, 7.1844, 93.2848, 15.6062, 7.2651, 93.5605
014, 16.0721, 7.1570, 93.3123, 15.7765, 7.3147, 93.5104
015, 16.0009, 7.1271, 93.3422, 15.7036, 7.2717, 93.5549
016, 15.9590, 7.1098, 93.3595, 15.6148, 7.2705, 93.5539
017, 15.9116, 7.0884, 93.3808, 15.5344, 7.2127, 93.6128
018, 15.8476, 7.0589, 93.4103, 15.5993, 7.2421, 93.5809
019, 15.7965, 7.0432, 93.4261, 16.0141, 7.4519, 93.3647
020, 15.7415, 7.0201, 93.4491, 15.7580, 7.3090, 93.5110
021, 15.7054, 7.0077, 93.4615, 15.6211, 7.2488, 93.5797
022, 15.6643, 6.9890, 93.4800, 15.4481, 7.1415, 93.6813
023, 15.6134, 6.9661, 93.5031, 15.5040, 7.1317, 93.6929
024, 15.5735, 6.9530, 93.5163, 15.4138, 7.1733, 93.6493
025, 15.5228, 6.9282, 93.5410, 16.7755, 7.7782, 93.0452
026, 15.5064, 6.9222, 93.5469, 15.6404, 7.2455, 93.5774
027, 15.4673, 6.9052, 93.5638, 15.4849, 7.1669, 93.6585
028, 15.4220, 6.8916, 93.5775, 15.4807, 7.1495, 93.6735
029, 15.3755, 6.8712, 93.5981, 15.3680, 7.1347, 93.6876
030, 15.3475, 6.8560, 93.6131, 15.5742, 7.2284, 93.5965
031, 14.4516, 6.4630, 94.0060, 14.9603, 6.8476, 93.9768
032, 14.1510, 6.3483, 94.1209, 15.0383, 6.8329, 93.9918
033, 13.9953, 6.2879, 94.1813, 15.1165, 6.8334, 93.9918
034, 13.8788, 6.2401, 94.2286, 15.1208, 6.8733, 93.9497
035, 13.7955, 6.2152, 94.2539, 15.1415, 6.8374, 93.9905
036, 13.7019, 6.1811, 94.2879, 15.1872, 6.8377, 93.9892
037, 13.6163, 6.1560, 94.3130, 15.4752, 6.8906, 93.9350
038, 13.5502, 6.1302, 94.3390, 15.2804, 6.8849, 93.9380
039, 13.4653, 6.1012, 94.3675, 15.4005, 6.8991, 93.9247
040, 13.4211, 6.0837, 94.3854, 15.4731, 6.9001, 93.9232
041, 13.3347, 6.0554, 94.4136, 15.5131, 6.8857, 93.9376
042, 13.2730, 6.0416, 94.4273, 15.5424, 6.9422, 93.8828
043, 13.2310, 6.0181, 94.4509, 15.4840, 6.9579, 93.8671
044, 13.1629, 5.9997, 94.4696, 15.6573, 6.9836, 93.8376
045, 13.1127, 5.9837, 94.4850, 15.4905, 6.9476, 93.8837
046, 13.0442, 5.9592, 94.5097, 15.7976, 6.9433, 93.8789
047, 13.0173, 5.9482, 94.5208, 15.9137, 7.0771, 93.7491
048, 12.9654, 5.9432, 94.5258, 16.0414, 7.0160, 93.8073
049, 12.9274, 5.9292, 94.5398, 15.8040, 6.9721, 93.8503
050, 12.8551, 5.9030, 94.5659, 15.9472, 7.0469, 93.7774
051, 12.5756, 5.7982, 94.6711, 16.2123, 7.0544, 93.7700
052, 12.4347, 5.7500, 94.7190, 16.3388, 7.1061, 93.7183
053, 12.4224, 5.7400, 94.7289, 16.2777, 7.0529, 93.7717
054, 12.3540, 5.7170, 94.7521, 16.3954, 7.0917, 93.7311
055, 12.3297, 5.7066, 94.7624, 16.3261, 7.0866, 93.7404
056, 12.3160, 5.7072, 94.7617, 16.4701, 7.0711, 93.7536
057, 12.2736, 5.6869, 94.7823, 16.5563, 7.1243, 93.7015
058, 12.2476, 5.6748, 94.7946, 16.4214, 7.1028, 93.7202
059, 12.2542, 5.6763, 94.7926, 16.4307, 7.0948, 93.7316
060, 12.2659, 5.6969, 94.7727, 16.3996, 7.1104, 93.7143
061, 12.1958, 5.6587, 94.8103, 16.4676, 7.1302, 93.6954
062, 12.2012, 5.6558, 94.8137, 16.4982, 7.1400, 93.6844
063, 12.1677, 5.6486, 94.8206, 16.6301, 7.1579, 93.6682
064, 12.1570, 5.6446, 94.8249, 16.6071, 7.1251, 93.7003
065, 12.1778, 5.6577, 94.8113, 16.5112, 7.1076, 93.7166
