******************************************************************
records on Chaleran LAP 2015 dataset
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_epsilon_error, train_accuracy
001, 8.6560, 33.4958, 8.6560, 4.5327, 0.4067, 94.8667
002, 7.8764, 32.5618, 7.8764, 4.0957, 0.3669, 95.3358
003, 7.5233, 32.1817, 7.5233, 3.9604, 0.3566, 95.4908
004, 7.1224, 31.6589, 7.1224, 3.7282, 0.3407, 95.7107
005, 7.2614, 31.8501, 7.2614, 3.7940, 0.3397, 95.6528
006, 7.2007, 31.8609, 7.2007, 3.8069, 0.3414, 95.6532
007, 6.9462, 31.5172, 6.9462, 3.6268, 0.3244, 95.8184
008, 6.7040, 31.1684, 6.7040, 3.5226, 0.3126, 95.9376
009, 6.6666, 31.1175, 6.6666, 3.4964, 0.3121, 95.9461
010, 6.8087, 31.3661, 6.8087, 3.5933, 0.3147, 95.8539
011, 6.5922, 31.0616, 6.5922, 3.4616, 0.3086, 95.9751
012, 6.4815, 30.9517, 6.4815, 3.4265, 0.3099, 96.0277
013, 6.4784, 30.9396, 6.4784, 3.4253, 0.3052, 96.0232
014, 6.4138, 30.8058, 6.4138, 3.3776, 0.2991, 96.0636
015, 6.2955, 30.7209, 6.2955, 3.3510, 0.2993, 96.0954
016, 6.3159, 30.7143, 6.3159, 3.3324, 0.2938, 96.1191
017, 6.1051, 30.4143, 6.1051, 3.2128, 0.2868, 96.2370
018, 6.2784, 30.7130, 6.2784, 3.2880, 0.2909, 96.1623
019, 5.9675, 30.2715, 5.9675, 3.1515, 0.2812, 96.2917
020, 5.8854, 30.1355, 5.8854, 3.1034, 0.2756, 96.3435
021, 5.8001, 30.0459, 5.8001, 3.0210, 0.2680, 96.4304
022, 5.7334, 29.9889, 5.7334, 2.9762, 0.2629, 96.4716
023, 5.8906, 30.2061, 5.8906, 3.1224, 0.2751, 96.3276
024, 5.9263, 30.2594, 5.9263, 3.1329, 0.2725, 96.3157
