******************************************************************
records on Chalearn2015 dataset
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 10.2725, 4.3367, 0.3892, 95.6633
002, 9.2795, 3.9391, 0.3540, 96.0609
003, 9.1224, 3.8917, 0.3454, 96.1083
004, 8.6554, 3.6617, 0.3310, 96.3383
005, 8.8152, 3.7461, 0.3354, 96.2539
006, 8.5047, 3.6323, 0.3264, 96.3677
007, 8.3996, 3.5916, 0.3199, 96.4084
008, 8.3680, 3.5811, 0.3171, 96.4192
009, 8.3053, 3.5761, 0.3163, 96.4239
010, 8.1187, 3.4839, 0.3128, 96.5161
011, 7.9260, 3.3779, 0.2995, 96.6221
012, 7.8470, 3.3859, 0.3026, 96.6141
013, 7.6787, 3.2669, 0.2902, 96.7331
014, 7.7776, 3.3292, 0.2954, 96.6708
015, 7.5799, 3.2658, 0.2922, 96.7342
016, 7.3597, 3.1213, 0.2807, 96.8787
017, 7.4764, 3.1993, 0.2826, 96.8007
018, 7.5060, 3.1855, 0.2788, 96.8145
019, 7.4243, 3.1891, 0.2783, 96.8109
020, 7.2867, 3.1401, 0.2784, 96.8599
021, 7.1378, 3.0540, 0.2682, 96.9460
022, 7.2241, 3.0745, 0.2700, 96.9255
023, 7.1251, 3.0554, 0.2678, 96.9446
024, 7.0272, 2.9873, 0.2622, 97.0127
025, 6.8981, 2.9726, 0.2627, 97.0274
026, 7.1805, 3.0612, 0.2642, 96.9388
027, 6.8906, 2.9338, 0.2555, 97.0662
028, 6.9085, 2.9632, 0.2557, 97.0368
029, 6.8282, 2.9114, 0.2511, 97.0886
030, 6.8509, 2.9510, 0.2538, 97.0490
031, 6.7051, 2.8566, 0.2512, 97.1434
032, 6.6878, 2.8607, 0.2495, 97.1393
033, 6.5906, 2.8239, 0.2433, 97.1761
034, 6.8355, 2.8909, 0.2482, 97.1091
035, 6.7014, 2.8450, 0.2469, 97.1550
036, 6.6457, 2.8411, 0.2467, 97.1589
037, 6.5765, 2.8173, 0.2452, 97.1827
038, 6.4957, 2.7672, 0.2393, 97.2328
039, 6.5560, 2.7821, 0.2425, 97.2179
040, 6.6364, 2.8646, 0.2464, 97.1354
041, 6.5311, 2.7741, 0.2413, 97.2259
042, 6.3929, 2.7024, 0.2329, 97.2976
043, 6.5356, 2.8076, 0.2420, 97.1927
044, 6.7637, 2.8740, 0.2474, 97.1257
045, 6.5749, 2.8544, 0.2427, 97.1456
046, 6.6478, 2.8613, 0.2437, 97.1390
047, 6.5015, 2.7782, 0.2404, 97.2218
048, 6.3559, 2.7099, 0.2382, 97.2901
049, 6.5858, 2.8126, 0.2426, 97.1874
050, 6.5290, 2.7874, 0.2438, 97.2126
051, 6.5111, 2.7514, 0.2399, 97.2483
052, 6.3955, 2.7151, 0.2359, 97.2849
053, 6.5194, 2.7655, 0.2392, 97.2345
054, 6.4146, 2.7110, 0.2314, 97.2890
055, 6.5082, 2.7680, 0.2387, 97.2323
056, 6.5569, 2.7785, 0.2424, 97.2215
057, 6.5538, 2.7935, 0.2371, 97.2065
058, 6.4806, 2.7389, 0.2376, 97.2614
059, 6.4033, 2.7071, 0.2339, 97.2929
060, 6.5397, 2.8140, 0.2437, 97.1860
061, 6.4482, 2.7331, 0.2329, 97.2669
062, 6.4314, 2.7356, 0.2363, 97.2644
063, 6.3692, 2.7295, 0.2394, 97.2705
064, 6.3397, 2.6711, 0.2316, 97.3289
065, 6.6152, 2.8596, 0.2509, 97.1404
test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.4915, 2.7850, 0.2508, 97.2150
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.377, 0.558, 0.702, 0.791, 0.876, 0.930, 0.957, 0.973, 0.981, 0.987

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.4915, 2.7850, 0.2508, 97.2150
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.377, 0.558, 0.702, 0.791, 0.876, 0.930, 0.957, 0.973, 0.981, 0.987

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.5442, 2.8137, 0.2527, 97.1863
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.373, 0.552, 0.701, 0.796, 0.868, 0.927, 0.953, 0.972, 0.978, 0.985

**********************************************:
**********************************************:
test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.3062, 2.7127, 0.2472, 97.2873
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.367, 0.560, 0.704, 0.814, 0.886, 0.938, 0.958, 0.976, 0.984, 0.991

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.3062, 2.7127, 0.2472, 97.2873
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.367, 0.560, 0.704, 0.814, 0.886, 0.938, 0.958, 0.976, 0.984, 0.991

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.3148, 2.7349, 0.2472, 97.2651
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.368, 0.563, 0.710, 0.804, 0.886, 0.935, 0.957, 0.970, 0.982, 0.991

