******************************************************************
records on AgeDB dataset under five-fold cross-validation protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 14.8223, 75.6200, 14.8223, 11.5558, 78.9578, 13.6070, 72.7537, 13.6070, 11.9629, 84.1061
002, 12.6569, 72.4481, 12.6569, 10.4096, 82.8663, 15.6544, 76.0792, 15.6544, 13.9985, 83.6452
003, 12.0867, 71.5026, 12.0867, 10.0685, 83.5565, 10.2581, 67.2417, 10.2581, 8.3806, 86.4951
004, 11.7169, 70.8862, 11.7169, 9.7024, 84.0673, 11.2954, 70.3658, 11.2954, 10.9780, 85.0584
005, 11.4105, 70.3726, 11.4105, 9.5177, 84.4204, 10.2107, 68.2493, 10.2107, 7.3389, 85.8976
006, 11.2067, 70.0408, 11.2067, 9.3849, 84.6606, 9.5323, 66.5700, 9.5323, 7.7786, 87.0735
007, 11.0144, 69.7084, 11.0144, 9.2231, 84.8988, 9.5770, 67.0645, 9.5770, 7.4329, 86.6209
008, 10.7518, 69.2815, 10.7518, 8.9923, 85.3119, 9.3112, 67.0675, 9.3112, 8.6187, 87.2873
009, 10.6515, 69.1291, 10.6515, 8.9243, 85.4574, 9.2183, 66.9466, 9.2183, 7.1850, 87.5148
010, 10.4927, 68.8610, 10.4927, 8.8061, 85.6765, 9.0539, 66.3792, 9.0539, 8.1114, 87.8006
011, 10.3003, 68.5318, 10.3003, 8.6053, 85.8835, 9.4681, 67.2006, 9.4681, 9.0758, 87.2684
012, 10.2970, 68.5305, 10.2970, 8.6076, 85.9462, 9.2495, 67.4350, 9.2495, 8.7369, 87.3313
013, 10.1006, 68.2015, 10.1006, 8.4517, 86.1418, 8.7607, 66.0967, 8.7607, 8.0068, 87.9393
014, 9.9826, 67.9988, 9.9826, 8.3853, 86.3417, 8.8613, 65.5055, 8.8613, 6.6983, 89.0417
015, 9.8746, 67.8306, 9.8746, 8.2971, 86.5231, 8.9891, 65.9483, 8.9891, 6.9780, 88.2237
016, 9.8536, 67.7845, 9.8536, 8.2577, 86.6058, 8.9126, 66.3633, 8.9126, 8.3882, 88.1024
017, 9.6438, 67.4309, 9.6438, 8.0992, 86.7949, 8.8967, 66.5195, 8.8967, 7.5019, 88.5315
018, 9.6071, 67.3779, 9.6071, 8.0649, 86.8720, 9.6246, 67.3659, 9.6246, 8.9704, 88.3161
019, 9.5991, 67.3685, 9.5991, 8.1354, 86.9078, 8.6159, 65.9234, 8.6159, 7.9067, 88.3412
020, 9.4948, 67.1739, 9.4948, 7.9994, 87.0031, 8.5914, 65.3911, 8.5914, 6.5800, 89.6035
021, 9.3372, 66.9298, 9.3372, 7.8797, 87.2131, 8.3729, 64.2619, 8.3729, 6.7657, 89.2684
022, 9.1466, 66.6141, 9.1466, 7.7162, 87.4208, 8.6718, 66.0056, 8.6718, 7.2896, 88.5337
023, 9.2087, 66.7030, 9.2087, 7.7813, 87.3964, 8.7590, 64.9134, 8.7590, 7.9613, 89.0417
024, 9.0493, 66.4515, 9.0493, 7.6668, 87.5563, 8.3634, 64.8383, 8.3634, 6.8681, 88.8438
025, 9.0898, 66.5123, 9.0898, 7.6482, 87.5665, 8.3293, 65.4533, 8.3293, 6.9227, 88.8620
026, 8.9456, 66.2697, 8.9456, 7.6431, 87.6772, 8.4345, 65.1321, 8.4345, 7.2494, 89.0561
027, 8.8684, 66.1340, 8.8684, 7.5298, 87.7001, 8.8370, 66.2777, 8.8370, 7.2767, 88.1569
028, 8.7721, 65.9870, 8.7721, 7.5158, 87.8316, 8.4667, 65.3692, 8.4667, 6.4829, 88.6929
029, 8.7445, 65.9334, 8.7445, 7.4538, 87.9217, 8.1570, 64.2620, 8.1570, 6.6732, 89.8089
030, 8.6768, 65.8255, 8.6768, 7.4087, 87.9439, 8.1788, 64.7717, 8.1788, 6.5504, 89.2161
031, 8.0558, 64.8027, 8.0558, 6.8707, 88.5783, 7.9062, 64.0527, 7.9062, 6.5504, 89.8340
032, 7.8630, 64.4624, 7.8630, 6.8126, 88.8074, 7.7952, 64.5211, 7.7952, 6.6482, 89.7051
033, 7.6872, 64.1790, 7.6872, 6.6354, 88.9687, 7.7180, 64.1207, 7.7180, 6.3889, 89.8560
034, 7.6186, 64.0418, 7.6186, 6.6105, 89.0482, 7.7270, 64.0613, 7.7270, 6.2547, 90.1221
035, 7.5495, 63.9507, 7.5495, 6.5306, 89.1285, 7.8371, 63.9175, 7.8371, 6.3374, 90.0083
036, 7.6009, 64.0205, 7.6009, 6.5819, 89.1166, 7.7656, 64.0080, 7.7656, 6.4049, 90.1312
