******************************************************************
records on MORPH2 dataset under S1-S2-S3 protocol
******************************************************************


epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy, valid_total_loss, valid_cross_entropy_loss, valid_kl_loss, valid_argmax_MAE, valid_accuracy
001, 8.7259, 64.6925, 8.7259, 6.5359, 85.6471, 5.6141, 60.6679, 5.6141, 4.5221, 89.8838
002, 6.5330, 61.6628, 6.5330, 5.4862, 90.3358, 6.2714, 60.4431, 6.2714, 4.1684, 91.4488
003, 6.1104, 60.9848, 6.1104, 5.2298, 90.9586, 4.5902, 56.8895, 4.5902, 3.7460, 93.8890
004, 5.8163, 60.4988, 5.8163, 5.0241, 91.3993, 5.3172, 57.5699, 5.3172, 4.7074, 93.4833
005, 5.5830, 60.1146, 5.5830, 4.8238, 91.7098, 4.7813, 57.5119, 4.7813, 4.0480, 93.9726
006, 5.4791, 59.9456, 5.4791, 4.7364, 91.8671, 4.8319, 57.8131, 4.8319, 3.7996, 93.4044
007, 5.3778, 59.7721, 5.3778, 4.6491, 92.0533, 4.8142, 57.9241, 4.8142, 4.6999, 93.3711
008, 5.2632, 59.5967, 5.2632, 4.5573, 92.1763, 4.5001, 57.3801, 4.5001, 3.6190, 94.0439
009, 5.1375, 59.3851, 5.1375, 4.4946, 92.3700, 4.3022, 57.3876, 4.3022, 3.4356, 94.6217
010, 5.0854, 59.2826, 5.0854, 4.4520, 92.4112, 4.2316, 57.3915, 4.2316, 3.9454, 93.8434
011, 4.9646, 59.1001, 4.9646, 4.3892, 92.5433, 4.6290, 57.9544, 4.6290, 4.6322, 92.3896
012, 4.9349, 59.0335, 4.9349, 4.3122, 92.6184, 4.7084, 58.0519, 4.7084, 3.2559, 93.6828
013, 4.8504, 58.8888, 4.8504, 4.1715, 92.7880, 4.3848, 57.8300, 4.3848, 3.6576, 94.1646
014, 4.7192, 58.6742, 4.7192, 4.1233, 92.8587, 5.1021, 58.0764, 5.1021, 4.6886, 93.8691
015, 4.7167, 58.6729, 4.7167, 4.1588, 92.8413, 5.1034, 57.9539, 5.1034, 3.3076, 93.9023
